# Table is orginally from arglow_groups.dat in the ESO sky model
# unsure about flux conversion so provide both the oringnal fluxes and converted
# type is defined as  Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2 (Noll+2012)
# OH (X-X), O2(b-X) with the electronic states and rotational upper levels in table
# written with make_lvm_skylines_table.ipynb 2025 June 4 (Amy Jones)
# Adapted by ksl to include all lines
    wave  flux_lvm flux_eso    trans type electronic_state rotational_upper_level
3649.670 3.511e-17   0.0006 0.999713    5               39                      0
3664.796 4.080e-17   0.0007 0.999911    5               41                      0
3668.095 2.911e-17   0.0005 0.999955    5               41                      0
3669.815 6.984e-17   0.0012 0.999956    5               41                      0
3673.414 3.489e-17   0.0006 0.999956    5               41                      0
3676.083 6.972e-17   0.0012 0.999956    5               41                      0
3697.848 5.776e-17    0.001 0.999956    5               41                      0
3698.098 8.086e-17   0.0014 0.999956    5               41                      0
3698.497 1.155e-16    0.002 0.999956    5               41                      0
3699.077 5.197e-17   0.0009 0.999956    5               41                      0
3699.607 6.928e-17   0.0012 0.999956    5               41                      0
3699.807 6.350e-17   0.0011 0.999956    5               41                      0
3700.407 6.349e-17   0.0011 0.999956    5               41                      0
3700.687 6.926e-17   0.0012 0.999956    5               41                      0
3701.367 7.502e-17   0.0013 0.999956    5               41                      0
3701.727 9.232e-17   0.0016 0.999956    5               41                      0
3702.456 6.922e-17   0.0012 0.999956    5               41                      0
3702.926 4.614e-17   0.0008 0.999956    5               41                      0
3703.726 8.073e-17   0.0014 0.999956    5               41                      0
3704.276 7.496e-17   0.0013 0.999956    5               41                      0
3705.146 8.070e-17   0.0014 0.999956    5               41                      0
3705.806 2.882e-17   0.0005 0.999956    5               41                      0
3706.725 7.491e-17   0.0013 0.999956    5               41                      0
3707.495 5.185e-17   0.0009 0.999956    5               41                      0
3708.475 8.063e-17   0.0014 0.999956    5               41                      0
3709.345 4.031e-17   0.0007 0.999956    5               41                      0
3710.384 7.483e-17   0.0013 0.999956    5               41                      0
3711.174 3.453e-17   0.0006 0.999956    1             -999                   -999
3711.354 2.877e-17   0.0005 0.999956    5               41                      0
3714.683 8.050e-17   0.0014 0.999956    5               41                      0
3717.043 5.171e-17   0.0009 0.999956    5               41                      0
3719.602 4.019e-17   0.0007 0.999956    5               41                      0
3722.331 8.033e-17   0.0014 0.999956    5               41                      0
3728.260 6.875e-17   0.0012 0.999956    5               41                      0
3731.359 6.296e-17   0.0011 0.999956    5               41                      0
3731.639 6.296e-17   0.0011 0.999956    5               41                      0
3733.148 7.438e-17   0.0013 0.999956    5               39                      0
3733.578 5.721e-17    0.001 0.999957    5               41                      0
3734.018 4.576e-17   0.0008 0.999958    5               41                      0
3734.208 9.723e-17   0.0017 0.999957    5               39                      0
3734.538 8.007e-17   0.0014 0.999955    5               41                      0
3734.808 8.006e-17   0.0014  0.99995    5               39                      0
3735.048 2.859e-17   0.0005 0.999944    5               41                      0
3735.708 3.430e-17   0.0006 0.999929    5               41                      0
3736.368 5.145e-17   0.0009 0.999929    5               39                      0
3736.977 1.200e-16   0.0021 0.999936    5               39                      0
3737.617 4.572e-17   0.0008 0.999937    5               41                      0
3737.797 6.286e-17   0.0011 0.999937    5               39                      0
3738.087 4.000e-17   0.0007 0.999936    5               39                      0
3738.517 1.143e-16    0.002 0.999933    5               41                      0
3738.827 2.856e-17   0.0005  0.99993    5               39                      0
3739.097 1.771e-16   0.0031 0.999926    5               39                      0
3739.307 1.085e-16   0.0019 0.999922    5               39                      0
3739.607 2.056e-16   0.0036 0.999917    5               39                      0
3739.777 6.853e-17   0.0012 0.999914    5               39                      0
3739.887 1.142e-17   0.0002 0.999913    1             -999                   -999
3741.066 1.370e-16   0.0024 0.999911    5               39                      0
3741.626 1.085e-16   0.0019 0.999911    5               39                      0
3743.526 1.483e-16   0.0026 0.999911    5               39                      0
3743.796 6.276e-17   0.0011 0.999911    5               39                      0
3744.056 1.711e-16    0.003 0.999911    5               39                      0
3746.505 1.767e-16   0.0031 0.999912    5               39                      0
3746.775 6.271e-17   0.0011 0.999912    5               39                      0
3747.075 9.690e-17   0.0017 0.999911    5               39                      0
3750.104 4.556e-17   0.0008 0.999865    5               39                      0
3750.354 5.695e-18   0.0001 0.999864    5               39                      0
3750.664 7.403e-17   0.0013 0.999865    5               39                      0
3754.213 5.120e-17   0.0009 0.999821    5               39                      0
3754.503 3.982e-17   0.0007  0.99982    5               39                      0
3754.833 1.308e-16   0.0023 0.999822    5               41                      0
3757.792 2.274e-17   0.0004 0.999779    5               41                      0
3758.232 2.842e-17   0.0005 0.999779    5               40                      0
3758.942 6.250e-17   0.0011 0.999761    5               39                      0
3759.092 1.136e-17   0.0002 0.999755    5               39                      0
3759.232 3.409e-17   0.0006  0.99975    5               40                      0
3759.582 3.977e-17   0.0007 0.999739    5               39                      0
3764.270 1.135e-16    0.002 0.999643    5               39                      0
3764.940 2.836e-17   0.0005 0.999623    5               39                      0
3765.930 4.537e-17   0.0008 0.999593    1             -999                   -999
3770.199 3.399e-17   0.0006 0.999454    5               39                      0
3770.399 1.133e-17   0.0002 0.999442    5               41                      0
3770.559 5.665e-18   0.0001 0.999433    1             -999                   -999
3772.318 2.265e-17   0.0004 0.999356    5               39                      0
3772.968 3.963e-17   0.0007 0.999325    5               39                      0
3773.428 6.792e-17   0.0012 0.999301    5               39                      0
3774.938 2.207e-16   0.0039 0.999236    5               39                      0
3775.227 7.355e-17   0.0013 0.999224    5               39                      0
3775.477 3.960e-17   0.0007 0.999213    5               39                      0
3777.617 7.916e-17   0.0014   0.9991    5               39                      0
3778.187 7.349e-17   0.0013 0.999065    5               39                      0
3780.926 4.519e-17   0.0008   0.9989    5               39                      0
3781.206 5.084e-17   0.0009 0.998882    5               39                      0
3781.496 5.648e-17    0.001 0.998864    5               39                      0
3784.885 2.257e-16    0.004 0.998696    5               39                      0
3785.455 3.385e-17   0.0006 0.998669    5               39                      0
3790.074 6.762e-17   0.0012 0.998436    5               41                      0
3791.263 5.070e-17   0.0009 0.998379    5               41                      0
3791.963 9.575e-17   0.0017  0.99836    5               41                      0
3792.553 1.126e-17   0.0002 0.998345    5               39                      0
3792.853 3.942e-17   0.0007 0.998336    5               41                      0
3794.752 5.628e-17    0.001 0.998277    5               41                      0
3795.082 7.316e-17   0.0013 0.998267    5               41                      0
3795.372 5.065e-17   0.0009 0.998258    5               39                      0
3796.432 6.189e-17   0.0011 0.998225    5               41                      0
3797.342 5.625e-18   0.0001   0.9982    1             -999                   -999
3797.472 3.375e-17   0.0006 0.998197    5               41                      0
3797.952 1.687e-17   0.0003 0.998186    5               41                      0
3799.091 1.687e-17   0.0003 0.998178    5               41                      0
3799.641 2.811e-17   0.0005 0.998181    5               41                      0
3800.821 4.496e-17   0.0008 0.998189    5               41                      0
3801.501 4.495e-17   0.0008 0.998201    5               41                      0
3809.479 3.925e-17   0.0007 0.998478    5               41                      0
3812.688 5.602e-17    0.001 0.998631    5               41                      0
3813.428 8.401e-17   0.0015 0.998676    5               41                      0
3814.057 6.720e-17   0.0012 0.998714    5               41                      0
3814.837 1.624e-16   0.0029 0.998762    5               41                      0
3815.437 5.038e-17   0.0009 0.998798    5               41                      0
3815.807 1.511e-16   0.0027 0.998821    5               41                      0
3816.457 2.798e-17   0.0005 0.998861    5               41                      0
3816.957 1.455e-16   0.0026 0.998891    5               41                      0
3817.756 5.595e-18   0.0001  0.99894    5               41                      0
3818.246 4.475e-17   0.0008  0.99897    5               41                      0
3818.996 7.830e-17   0.0014 0.999014    5               41                      0
3819.686 6.151e-17   0.0011 0.999052    5               41                      0
3820.506 1.398e-16   0.0025 0.999088    5               41                      0
3820.796 3.913e-17   0.0007 0.999098    5               41                      0
3821.365 6.148e-17   0.0011 0.999117    5               41                      0
3821.655 1.677e-17   0.0003 0.999131    1             -999                   -999
3822.055 2.794e-17   0.0005 0.999154    5               42                      0
3822.235 7.823e-17   0.0014 0.999165    5               41                      0
3822.565 2.235e-17   0.0004 0.999187    5               41                      0
3823.215 7.262e-17   0.0013 0.999226    5               41                      0
3824.125 7.819e-17   0.0014 0.999277    5               41                      0
3824.285 2.234e-17   0.0004 0.999285    5               41                      0
3825.204 6.142e-17   0.0011 0.999321    5               41                      0
3826.184 9.490e-17   0.0017  0.99936    5               41                      0
3826.644 2.791e-17   0.0005 0.999386    5               41                      0
3827.044 3.907e-17   0.0007  0.99941    5               42                      0
3827.394 3.906e-17   0.0007 0.999427    5               41                      0
3828.414 6.695e-17   0.0012 0.999459    5               41                      0
3828.574 4.463e-17   0.0008 0.999463    5               39                      0
3829.133 5.578e-17    0.001  0.99948    5               39                      0
3829.553 7.250e-17   0.0013 0.999492    5               39                      0
3830.143 2.788e-17   0.0005  0.99951    5               39                      0
3830.323 7.807e-17   0.0014 0.999516    5               39                      0
3830.633 1.171e-16   0.0021 0.999525    5               39                      0
3830.833 1.840e-16   0.0033 0.999532    5               41                      0
3830.983 3.903e-17   0.0007 0.999537    5               39                      0
3831.253 3.902e-17   0.0007 0.999545    5               39                      0
3832.103 1.616e-16   0.0029 0.999572    5               39                      0
3832.433 5.016e-17   0.0009 0.999581    5               39                      0
3832.693 1.337e-16   0.0024 0.999589    5               39                      0
3832.912 1.059e-16   0.0019 0.999596    5               39                      0
3833.382 3.343e-17   0.0006  0.99961    5               41                      0
3833.542 5.014e-17   0.0009 0.999615    5               39                      0
3834.532 1.671e-16    0.003 0.999645    5               39                      0
3835.102 8.911e-17   0.0016 0.999663    5               39                      0
3837.511 2.115e-16   0.0038 0.999731    5               39                      0
3837.811 1.280e-16   0.0023 0.999735    5               39                      0
3838.111 1.280e-16   0.0023 0.999737    5               39                      0
3839.081 6.120e-17   0.0011  0.99974    5               41                      0
3841.370 6.672e-17   0.0012 0.999782    5               39                      0
3841.700 1.223e-16   0.0022 0.999783    5               39                      0
3842.160 5.559e-17    0.001 0.999787    5               41                      0
3845.199 4.999e-17   0.0009 0.999834    5               39                      0
3845.339 3.888e-17   0.0007 0.999837    5               39                      0
3845.499 7.776e-17   0.0014 0.999841    5               39                      0
3845.899 1.999e-16   0.0036 0.999852    5               39                      0
3847.199 4.441e-17   0.0008 0.999869    5               42                      0
3847.509 1.166e-16   0.0021 0.999868    5               39                      0
3848.168 4.995e-17   0.0009 0.999867    5               39                      0
3848.928 2.220e-17   0.0004 0.999866    5               41                      0
3849.928 4.438e-17   0.0008 0.999868    5               39                      0
3850.108 2.774e-17   0.0005 0.999869    5               39                      0
3850.258 6.102e-17   0.0011  0.99987    5               39                      0
3850.608 8.875e-17   0.0016 0.999873    5               39                      0
3850.878 3.882e-17   0.0007 0.999876    5               39                      0
3852.547 0.000e+00      0.0 0.999912    5               41                      0
3854.147 2.217e-17   0.0004 0.999911    1             -999                   -999
3855.247 7.202e-17   0.0013 0.999911    5               39                      0
3855.946 7.201e-17   0.0013 0.999911    5               39                      0
3864.614 6.079e-17   0.0011 0.999956    1             -999                   -999
3865.194 2.210e-17   0.0004 0.999956    5               42                      0
3875.611 5.511e-17    0.001 0.999956    5               42                      0
3882.909 4.951e-17   0.0009 0.999956    1             -999                   -999
3888.638 2.581e-16   0.0047 0.999956    3             -999                   -999
3890.068 4.392e-17   0.0008 0.999956    5               42                      0
3904.584 1.258e-16   0.0023  0.99996    5               41                      0
3904.844 1.149e-16   0.0021 0.999962    5               41                      0
3905.294 7.657e-17   0.0014 0.999967    5               41                      0
3905.873 6.015e-17   0.0011 0.999978    5               41                      0
3906.523 1.039e-16   0.0019 0.999988    5               41                      0
3906.653 7.107e-17   0.0013 0.999988    5               41                      0
3907.373 8.199e-17   0.0015  0.99998    5               41                      0
3907.613 1.476e-16   0.0027 0.999976    5               41                      0
3908.393 1.093e-16    0.002  0.99997    5               41                      0
3908.743 8.743e-17   0.0016 0.999973    5               41                      0
3909.612 1.257e-16   0.0023 0.999984    5               41                      0
3910.032 1.038e-16   0.0019 0.999984    5               41                      0
3910.952 9.830e-17   0.0018 0.999973    5               41                      0
3911.472 9.283e-17   0.0017 0.999975    5               41                      0
3912.482 1.310e-16   0.0024 0.999996    5               41                      0
3913.691 5.457e-17    0.001      1.0    1             -999                   -999
3914.191 9.822e-17   0.0018      1.0    5               41                      0
3914.701 4.365e-17   0.0008      1.0    5               41                      0
3914.951 8.183e-17   0.0015      1.0    5               41                      0
3916.081 9.817e-17   0.0018      1.0    5               41                      0
3916.921 6.543e-17   0.0012      1.0    5               41                      0
3918.140 8.722e-17   0.0016      1.0    5               41                      0
3918.460 2.725e-17   0.0005      1.0    5               42                      0
3919.080 5.995e-17   0.0011      1.0    5               41                      0
3920.380 7.082e-17   0.0013      1.0    5               41                      0
3921.119 2.724e-17   0.0005      1.0    5               41                      0
3921.399 2.723e-17   0.0005      1.0    5               41                      0
3922.789 7.623e-17   0.0014      1.0    5               41                      0
3923.599 3.266e-17   0.0006      1.0    5               41                      0
3923.899 6.532e-17   0.0012      1.0    5               41                      0
3925.368 8.706e-17   0.0016      1.0    5               41                      0
3926.268 5.440e-17    0.001      1.0    5               41                      0
3926.608 2.176e-17   0.0004      1.0    5               41                      0
3927.828 3.806e-17   0.0007      1.0    5               42                      0
3928.138 7.068e-17   0.0013      1.0    5               41                      0
3929.097 2.174e-17   0.0004      1.0    5               41                      0
3929.467 2.718e-17   0.0005      1.0    5               41                      0
3931.077 8.693e-17   0.0016      1.0    5               41                      0
3932.516 6.517e-17   0.0012      1.0    5               41                      0
3937.495 2.170e-17   0.0004      1.0    5               41                      0
3939.535 2.711e-17   0.0005      1.0    5               39                      0
3939.845 4.879e-17   0.0009      1.0    5               39                      0
3940.514 1.084e-17   0.0002      1.0    5               39                      0
3940.974 3.794e-17   0.0007      1.0    5               41                      0
3941.174 3.794e-17   0.0007      1.0    5               39                      0
3941.734 8.670e-17   0.0016      1.0    5               39                      0
3942.854 2.113e-16   0.0039      1.0    5               39                      0
3943.524 1.354e-16   0.0025      1.0    5               39                      0
3945.213 7.579e-17   0.0014      1.0    5               39                      0
3945.513 2.707e-17   0.0005      1.0    5               39                      0
3945.633 1.083e-17   0.0002      1.0    5               41                      0
3945.863 9.743e-17   0.0018      1.0    5               39                      0
3948.082 9.197e-17   0.0017      1.0    5               39                      0
3948.412 7.032e-17   0.0013      1.0    5               39                      0
3948.732 8.654e-17   0.0016      1.0    5               39                      0
3951.272 3.784e-17   0.0007      1.0    5               39                      0
3951.541 2.216e-16   0.0041      1.0    5               39                      0
3951.811 4.324e-17   0.0008      1.0    5               39                      0
3952.181 5.404e-17    0.001      1.0    5               39                      0
3953.431 1.621e-17   0.0003      1.0    1             -999                   -999
3953.961 5.402e-17    0.001      1.0    5               41                      0
3955.440 4.320e-17   0.0008      1.0    5               39                      0
3955.600 2.700e-17   0.0005      1.0    5               39                      0
3955.790 3.780e-17   0.0007      1.0    5               39                      0
3956.180 4.859e-17   0.0009      1.0    5               39                      0
3956.700 3.239e-17   0.0006      1.0    5               42                      0
3959.619 0.000e+00      0.0      1.0    1             -999                   -999
3959.779 1.079e-17   0.0002      1.0    1             -999                   -999
3960.139 1.079e-17   0.0002      1.0    5               39                      0
3960.339 2.697e-17   0.0005      1.0    5               39                      0
3960.729 5.932e-17   0.0011      1.0    5               39                      0
3961.589 3.774e-17   0.0007      1.0    5               42                      0
3973.916 9.674e-17   0.0018 0.999597    5               42                      0
3974.355 4.837e-17   0.0009 0.999999    5               39                      0
3974.845 2.149e-17   0.0004      1.0    5               42                      0
3977.475 8.592e-17   0.0016      1.0    5               39                      0
3977.855 9.128e-17   0.0017 0.999998    5               39                      0
3978.115 6.980e-17   0.0013 0.999999    5               39                      0
3980.384 5.366e-17    0.001      1.0    5               39                      0
3980.734 3.219e-17   0.0006      1.0    5               39                      0
3981.014 8.048e-17   0.0015      1.0    5               39                      0
3981.434 5.901e-17   0.0011 0.999999    5               42                      0
3983.963 4.289e-17   0.0008 0.999997    5               39                      0
3984.283 1.608e-17   0.0003 0.999998    5               39                      0
3984.603 9.112e-17   0.0017      1.0    5               39                      0
3988.212 4.820e-17   0.0009      1.0    5               39                      0
3988.292 2.142e-17   0.0004      1.0    5               39                      0
3988.552 2.677e-17   0.0005 0.999999    5               39                      0
3988.882 6.961e-17   0.0013 0.999923    5               39                      0
3989.821 2.141e-17   0.0004      1.0    5               42                      0
3993.191 4.814e-17   0.0009      1.0    5               39                      0
3993.510 4.279e-17   0.0008      1.0    5               39                      0
3993.870 5.883e-17   0.0011      1.0    5               39                      0
3999.089 5.875e-17   0.0011 0.999954    5               42                      0
3999.539 1.121e-16   0.0021 0.999953    5               39                      0
4007.507 6.396e-17   0.0012 0.999956    5               41                      0
4007.757 9.593e-17   0.0018 0.999956    5               41                      0
4008.187 6.927e-17   0.0013 0.999956    5               41                      0
4008.796 6.393e-17   0.0012 0.999956    5               41                      0
4009.376 1.279e-16   0.0024 0.999956    5               42                      0
4009.536 9.588e-17   0.0018 0.999956    5               41                      0
4010.436 1.065e-16    0.002 0.999955    5               41                      0
4011.426 6.922e-17   0.0013 0.999953    5               41                      0
4011.606 4.792e-17   0.0009 0.999954    5               41                      0
4012.625 5.323e-17    0.001 0.999982    5               41                      0
4012.895 4.258e-17   0.0008 0.999991    5               41                      0
4014.015 1.064e-16    0.002 0.999982    5               41                      0
4014.335 7.449e-17   0.0014 0.999971    5               41                      0
4015.575 5.851e-17   0.0011 0.999953    5               41                      0
4016.005 5.850e-17   0.0011 0.999954    5               41                      0
4016.594 4.254e-17   0.0008 0.999956    5               41                      0
4017.304 5.317e-17    0.001 0.999956    5               41                      0
4017.804 2.658e-17   0.0005 0.999956    5               41                      0
