# AIRGLOW LINE LIST
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Different variability classes are indicated:
# 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Wavelength (vac) [mum]  Flux [phot/sm2as2]  Type
0.615769   0.0011  3                                                            
0.615847   0.0023  3                                                            
0.615989   0.0038  3                                                            
0.617125   0.0047  4                                                            
0.617236   0.0367  4                                                            
0.617800   0.0138  4                                                            
0.618602   0.0072  4                                                            
0.619465   0.0109  4                                                            
0.620445   0.0354  4                                                            
0.621479   0.0130  4                                                            
0.622350   0.0408  4                                                            
0.623602   0.0451  4                                                            
0.623740   0.0299  4                                                            
0.623770   0.0648  4                                                            
0.623872   0.0129  4                                                            
0.623915   0.0201  4                                                            
0.624197   0.0199  4                                                            
0.624343   0.0184  4                                                            
0.624530   0.0172  4                                                            
0.624546   0.0224  4                                                            
0.624910   0.0043  4                                                            
0.624975   0.0067  4                                                            
0.625868   0.0151  4                                                            
0.625970   0.1245  4                                                            
0.626092   0.0047  4                                                            
0.626348   0.0069  4                                                            
0.626448   0.0041  4                                                            
0.626458   0.0023  4                                                            
0.626695   0.0479  4                                                            
0.627001   0.0063  4                                                            
0.627027   0.0061  4                                                            
0.627984   0.0237  4                                                            
0.628918   0.1074  4                                                            
0.629079   0.0025  4                                                            
0.629118   0.0019  4                                                            
0.629209   0.0013  4                                                            
0.629766   0.0028  4                                                            
0.629803   0.0019  4                                                            
0.629965   0.0456  4                                                            
0.630205   2.6089  3                                                            
0.630302   0.0124  1                                                            
0.630867   0.1555  4                                                            
0.631030   0.0027  4                                                            
0.632316   0.0432  4                                                            
0.633153   0.0742  4                                                            
0.633168   0.0916  4                                                            
0.634462   0.0012  4                                                            
0.634499   0.0013  4                                                            
0.635030   0.0296  4                                                            
0.635794   0.0397  4                                                            
0.635821   0.0366  4                                                            
0.636306   0.0020  4                                                            
0.636554   0.8675  3                                                            
0.638108   0.0199  4                                                            
0.638802   0.0198  4                                                            
0.638839   0.0184  4                                                            
0.641554   0.0091  4                                                            
0.641566   0.0072  4                                                            
0.642185   0.0095  4                                                            
0.642233   0.0096  4                                                            
0.642753   0.0012  4                                                            
0.645373   0.0025  4                                                            
0.645401   0.0029  4                                                            
0.645777   0.0009  3                                                            
0.645952   0.0044  4                                                            
0.646013   0.0050  4                                                            
0.646532   0.0265  4                                                            
0.646559   0.0114  4                                                            
0.646669   0.0046  4                                                            
0.646774   0.0567  4                                                            
0.646871   0.0041  4                                                            
0.647194   0.0192  4                                                            
0.647277   0.0613  4                                                            
0.647971   0.0211  4                                                            
0.649591   0.0007  4                                                            
0.649621   0.0016  4                                                            
0.649933   0.0195  4                                                            
0.650054   0.1626  4                                                            
0.650120   0.0033  4                                                            
0.650193   0.0024  4                                                            
0.650441   0.0026  4                                                            
0.650452   0.0041  4                                                            
0.650680   0.0578  4                                                            
0.651565   0.0077  4                                                            
0.651595   0.0074  4                                                            
0.652423   0.0363  4                                                            
0.653485   0.1378  4                                                            
0.654209   0.0017  4                                                            
0.654257   0.0024  4                                                            
0.654585   0.0526  4                                                            
0.654788   0.0037  4                                                            
0.655463   0.0012  4                                                            
0.655544   0.1540  4                                                            
0.655772   0.0006  5                                                            
0.656009   0.0012  5                                                            
0.656457   0.0327  3                                                            
0.657060   0.0429  4                                                            
0.657902   0.0708  4                                                            
0.657920   0.0690  4                                                            
0.657992   0.0017  4                                                            
0.658226   0.0028  5                                                            
0.658554   0.0057  1                                                            
0.658631   0.0031  1                                                            
0.659846   0.0264  4                                                            
0.660582   0.0305  4                                                            
0.660610   0.0304  4                                                            
0.662228   0.0009  4                                                            
0.662946   0.0144  4                                                            
0.663588   0.0137  4                                                            
0.663626   0.0125  4                                                            
0.665265   0.0017  4                                                            
0.666353   0.0075  4                                                            
0.666370   0.0047  4                                                            
0.666923   0.0061  4                                                            
0.666971   0.0046  4                                                            
0.670091   0.0032  4                                                            
0.670114   0.0018  4                                                            
0.670151   0.0016  5                                                            
0.670596   0.0039  4                                                            
0.670654   0.0028  4                                                            
0.670975   0.0005  5                                                            
0.671202   0.0007  5                                                            
0.671299   0.0003  5                                                            
0.671572   0.0009  5                                                            
0.671665   0.0012  5                                                            
0.671766   0.0004  1                                                            
0.671882   0.0003  1                                                            
0.672082   0.0007  5                                                            
0.672271   0.0020  4                                                            
0.672466   0.0006  5                                                            
0.672552   0.0011  5                                                            
0.673075   0.0005  5                                                            
0.673199   0.0009  1                                                            
0.674156   0.0048  4                                                            
0.674194   0.0019  4                                                            
0.674372   0.0010  1                                                            
0.674477   0.0011  4                                                            
0.674609   0.0027  4                                                            
0.674680   0.0023  4                                                            
0.674879   0.0012  4                                                            
0.677092   0.0005  1                                                            
0.678564   0.0021  4                                                            
0.678613   0.0017  4                                                            
0.678974   0.0030  4                                                            
0.679058   0.0025  4                                                            
0.680502   0.0014  4                                                            
0.682064   0.0021  4                                                            
0.682935   0.0705  4                                                            
0.683036   0.0306  4                                                            
0.683139   0.1372  4                                                            
0.683181   0.0328  4                                                            
0.683325   0.0022  4                                                            
0.683385   0.0020  4                                                            
0.683456   0.0170  4                                                            
0.683591   0.0537  4                                                            
0.683634   0.1378  4                                                            
0.683699   0.0030  4                                                            
0.683766   0.0014  4                                                            
0.683797   0.0023  4                                                            
0.684156   0.0053  4                                                            
0.684196   0.0089  4                                                            
0.684385   0.0500  4                                                            
0.685193   0.0036  4                                                            
0.685270   0.0061  4                                                            
0.686459   0.0450  4                                                            
0.686586   0.3732  4                                                            
0.686677   0.0036  4                                                            
0.686694   0.0026  4                                                            
0.687025   0.0028  5                                                            
0.687039   0.0045  4                                                            
0.687297   0.0551  4                                                            
0.687982   0.0016  4                                                            
0.688018   0.0009  4                                                            
0.688214   0.0022  4                                                            
0.688285   0.0212  4                                                            
0.688315   0.0207  4                                                            
0.688401   0.0013  4                                                            
0.688434   0.0035  4                                                            
0.688455   0.0032  4                                                            
0.688524   0.0016  4                                                            
0.688794   0.0032  4                                                            
0.688907   0.0024  4                                                            
0.689120   0.0869  4                                                            
0.689600   0.0062  4                                                            
0.689654   0.0053  4                                                            
0.690271   0.1765  4                                                            
0.690434   0.0027  4                                                            
0.690547   0.0020  4                                                            
0.690579   0.0026  4                                                            
0.691241   0.0014  4                                                            
0.691327   0.0010  4                                                            
0.691455   0.1128  4                                                            
0.692332   0.0029  4                                                            
0.692510   0.2264  4                                                            
0.692651   0.0055  4                                                            
0.692903   0.0010  4                                                            
0.692923   0.0017  4                                                            
0.693025   0.0018  4                                                            
0.693076   0.0013  4                                                            
0.693134   0.0007  1                                                            
0.693956   0.0026  4                                                            
0.694040   0.0016  4                                                            
0.694145   0.1009  4                                                            
0.694269   0.0038  4                                                            
0.694399   0.0027  4                                                            
0.695088   0.1492  4                                                            
0.695109   0.1363  4                                                            
0.695362   0.0082  4                                                            
0.695478   0.0018  4                                                            
0.695648   0.0003  5                                                            
0.695711   0.0016  5                                                            
0.695752   0.0015  4                                                            
0.695781   0.0007  4                                                            
0.695815   0.0018  5                                                            
0.695881   0.0016  4                                                            
0.695938   0.0026  4                                                            
0.696040   0.0010  5                                                            
0.696092   0.0014  5                                                            
0.696186   0.0007  5                                                            
0.696269   0.0018  5                                                            
0.696369   0.0012  5                                                            
0.696476   0.0013  5                                                            
0.696572   0.0009  5                                                            
0.696711   0.0019  5                                                            
0.696826   0.0070  4                                                            
0.697186   0.0725  4                                                            
0.697388   0.0009  5                                                            
0.697492   0.0012  5                                                            
0.697715   0.0015  5                                                            
0.697814   0.0018  5                                                            
0.698019   0.0773  4                                                            
0.698050   0.0730  4                                                            
0.698164   0.0016  5                                                            
0.698445   0.0017  5                                                            
0.698537   0.0025  5                                                            
0.698805   0.0022  4                                                            
0.698826   0.0015  4                                                            
0.698942   0.0014  5                                                            
0.698985   0.0011  4                                                            
0.699120   0.0013  4                                                            
0.699279   0.0009  5                                                            
0.699371   0.0013  5                                                            
0.699734   0.0016  5                                                            
0.699826   0.0012  5                                                            
0.699851   0.0023  4                                                            
0.699894   0.0032  4                                                            
0.699950   0.0020  4                                                            
0.700142   0.0029  4                                                            
0.700288   0.0018  4                                                            
0.700386   0.0010  3                                                            
0.700417   0.0016  3                                                            
0.700580   0.0411  4                                                            
0.700720   0.0016  5                                                            
0.701315   0.0373  4                                                            
0.701357   0.0356  4                                                            
0.703160   0.0035  4                                                            
0.704321   0.0136  4                                                            
0.704341   0.0129  4                                                            
0.704696   0.0017  5                                                            
0.704730   0.0017  5                                                            
0.704797   0.0035  5                                                            
0.704836   0.0018  5                                                            
0.704890   0.0061  5                                                            
0.704982   0.0237  4                                                            
0.705033   0.0183  4                                                            
0.705107   0.0039  5                                                            
0.705153   0.0051  5                                                            
0.705254   0.0042  5                                                            
0.705329   0.0054  5                                                            
0.705429   0.0042  5                                                            
0.705535   0.0046  5                                                            
0.705634   0.0031  5                                                            
0.705771   0.0029  5                                                            
0.705865   0.0011  5                                                            
0.706152   0.0023  4                                                            
0.706264   0.0036  5                                                            
0.706422   0.0028  4                                                            
0.706461   0.0035  5                                                            
0.706566   0.0052  5                                                            
0.706795   0.0053  5                                                            
0.706896   0.0068  5                                                            
0.706951   0.0029  4                                                            
0.707154   0.0059  5                                                            
0.707253   0.0072  5                                                            
0.707542   0.0055  5                                                            
0.707640   0.0064  5                                                            
0.707958   0.0044  5                                                            
0.708054   0.0055  5                                                            
0.708402   0.0044  5                                                            
0.708433   0.0077  4                                                            
0.708465   0.0079  4                                                            
0.708497   0.0035  5                                                            
0.708766   0.0010  1                                                            
0.708875   0.0026  5                                                            
0.708968   0.0028  5                                                            
0.709024   0.0119  4                                                            
0.709088   0.0123  4                                                            
0.709134   0.0011  5                                                            
0.709185   0.0020  5                                                            
0.709229   0.0027  5                                                            
0.709333   0.0011  5                                                            
0.709375   0.0027  5                                                            
0.709437   0.0005  5                                                            
0.709472   0.0021  5                                                            
0.709906   0.0012  5                                                            
0.709999   0.0008  5                                                            
0.710216   0.0012  5                                                            
0.710324   0.0013  5                                                            
0.710560   0.0014  5                                                            
0.710666   0.0013  5                                                            
0.710950   0.0017  5                                                            
0.711054   0.0019  5                                                            
0.711392   0.0017  5                                                            
0.711489   0.0010  5                                                            
0.711870   0.0014  5                                                            
0.711966   0.0010  5                                                            
0.712396   0.0007  5                                                            
0.712491   0.0010  5                                                            
0.712879   0.0020  4                                                            
0.712922   0.0068  4                                                            
0.712964   0.0059  4                                                            
0.713008   0.0016  4                                                            
0.713064   0.0007  5                                                            
0.713132   0.0028  4                                                            
0.713316   0.0016  4                                                            
0.713454   0.0101  4                                                            
0.713533   0.0079  4                                                            
0.714311   0.0015  5                                                            
0.714365   0.0019  5                                                            
0.714417   0.0038  5                                                            
0.714449   0.0033  5                                                            
0.714470   0.0028  5                                                            
0.714523   0.0019  5                                                            
0.714558   0.0074  5                                                            
0.714666   0.0033  5                                                            
0.714703   0.0051  5                                                            
0.714756   0.0002  5                                                            
0.714808   0.0042  5                                                            
0.714877   0.0049  5                                                            
0.714979   0.0040  5                                                            
0.715081   0.0042  5                                                            
0.715182   0.0039  5                                                            
0.715316   0.0024  5                                                            
0.715412   0.0015  5                                                            
0.715818   0.0028  5                                                            
0.716019   0.0031  5                                                            
0.716127   0.0044  5                                                            
0.716198   0.0013  4                                                            
0.716360   0.0047  5                                                            
0.716464   0.0061  5                                                            
0.716731   0.0060  5                                                            
0.716833   0.0068  5                                                            
0.717130   0.0054  5                                                            
0.717230   0.0070  5                                                            
0.717559   0.0043  5                                                            
0.717659   0.0051  5                                                            
0.717799   0.0069  4                                                            
0.717852   0.0055  4                                                            
0.718019   0.0036  5                                                            
0.718117   0.0040  5                                                            
0.718282   0.0095  4                                                            
0.718375   0.0071  4                                                            
0.718509   0.0027  5                                                            
0.718607   0.0026  5                                                            
0.719031   0.0015  5                                                            
0.719129   0.0021  5                                                            
0.719585   0.0006  5                                                            
0.719679   0.0014  5                                                            
0.720049   0.0022  4                                                            
0.720165   0.0011  5                                                            
0.720190   0.0008  4                                                            
0.720281   0.0040  4                                                            
0.720344   0.0013  4                                                            
0.720490   0.0020  4                                                            
0.720992   0.0037  4                                                            
0.722317   0.0026  5                                                            
0.722355   0.0014  5                                                            
0.722436   0.0032  5                                                            
0.722553   0.0010  5                                                            
0.722586   0.0014  5                                                            
0.722722   0.0038  4                                                            
0.723076   0.0071  4                                                            
0.723141   0.0062  4                                                            
0.723445   0.0014  5                                                            
0.723516   0.0091  4                                                            
0.723556   0.0018  5                                                            
0.723626   0.0079  4                                                            
0.723803   0.0008  5                                                            
0.723913   0.0018  5                                                            
0.724078   0.2024  4                                                            
0.724219   0.3092  4                                                            
0.724286   0.1003  4                                                            
0.724342   0.0909  4                                                            
0.724394   0.0498  4                                                            
0.724433   0.0018  5                                                            
0.724474   0.0023  5                                                            
0.724546   0.0046  5                                                            
0.724585   0.0017  5                                                            
0.724656   0.0047  5                                                            
0.724694   0.4685  4                                                            
0.724764   0.0059  5                                                            
0.724787   0.0058  5                                                            
0.724855   0.0748  4                                                            
0.724897   0.0039  5                                                            
0.724960   0.0041  5                                                            
0.725066   0.0035  5                                                            
0.725165   0.0050  5                                                            
0.725270   0.0043  5                                                            
0.725400   0.0025  5                                                            
0.725515   0.1305  4                                                            
0.725730   0.0186  4                                                            
0.725791   0.0286  4                                                            
0.725830   0.0010  5                                                            
0.725911   0.0021  5                                                            
0.726114   0.0025  5                                                            
0.726225   0.0048  5                                                            
0.726328   0.0009  5                                                            
0.726464   0.0040  5                                                            
0.726571   0.0053  5                                                            
0.726742   0.0010  4                                                            
0.726844   0.0043  5                                                            
0.726950   0.0053  5                                                            
0.727005   0.0119  4                                                            
0.727110   0.0168  4                                                            
0.727257   0.0049  5                                                            
0.727360   0.0049  5                                                            
0.727524   0.0008  1                                                            
0.727712   0.1130  4                                                            
0.727805   0.0059  5                                                            
0.727843   0.8218  4                                                            
0.727901   0.0037  4                                                            
0.728130   0.0024  4                                                            
0.728180   0.0026  5                                                            
0.728281   0.0031  5                                                            
0.728354   0.0204  4                                                            
0.728369   0.0143  4                                                            
0.728647   0.3181  4                                                            
0.728686   0.0118  4                                                            
0.728773   0.0075  4                                                            
0.728804   0.0045  4                                                            
0.728841   0.0126  4                                                            
0.729175   0.0101  4                                                            
0.729229   0.0008  5                                                            
0.729302   0.0074  4                                                            
0.729332   0.0011  5                                                            
0.729377   0.0031  4                                                            
0.729413   0.0080  4                                                            
0.729434   0.0053  4                                                            
0.729781   0.0515  4                                                            
0.729812   0.0509  4                                                            
0.730574   0.2052  4                                                            
0.730776   0.0061  4                                                            
0.730909   0.0062  4                                                            
0.730947   0.0052  4                                                            
0.731280   0.0174  4                                                            
0.731334   0.0158  4                                                            
0.731831   0.7065  4                                                            
0.733118   0.2790  4                                                            
0.733150   0.0055  4                                                            
0.733239   0.0035  4                                                            
0.733285   0.0072  4                                                            
0.733359   0.0018  4                                                            
0.733427   0.0043  4                                                            
0.733477   0.0035  4                                                            
0.734292   0.8474  4                                                            
0.734375   0.0049  4                                                            
0.734658   0.0019  4                                                            
0.734693   0.0108  4                                                            
0.734896   0.0073  4                                                            
0.734989   0.0053  4                                                            
0.735241   0.0009  5                                                            
0.735269   0.0101  4                                                            
0.735343   0.0027  5                                                            
0.735414   0.0087  4                                                            
0.735463   0.0031  5                                                            
0.735525   0.0013  4                                                            
0.735579   0.0011  5                                                            
0.735634   0.0016  5                                                            
0.735744   0.0010  5                                                            
0.735803   0.0072  4                                                            
0.735832   0.0025  5                                                            
0.735945   0.0007  5                                                            
0.736006   0.0023  4                                                            
0.736071   0.2620  4                                                            
0.736218   0.0038  4                                                            
0.736234   0.0018  4                                                            
0.736264   0.0023  4                                                            
0.736368   0.0019  4                                                            
0.736429   0.0019  4                                                            
0.736531   0.0015  5                                                            
0.736558   0.0024  5                                                            
0.736595   0.0008  5                                                            
0.736643   0.0034  5                                                            
0.736673   0.0017  5                                                            
0.736755   0.0025  5                                                            
0.736775   0.0034  5                                                            
0.736802   0.0010  5                                                            
0.736887   0.0014  5                                                            
0.736915   0.0014  5                                                            
0.736962   0.0010  5                                                            
0.737076   0.0017  5                                                            
0.737130   0.3680  4                                                            
0.737153   0.3733  4                                                            
0.737271   0.0016  5                                                            
0.737553   0.0013  5                                                            
0.737611   0.0169  4                                                            
0.737660   0.0025  5                                                            
0.737770   0.0012  5                                                            
0.737980   0.0016  5                                                            
0.738030   0.0017  5                                                            
0.738087   0.0018  5                                                            
0.738145   0.0016  5                                                            
0.738449   0.0030  5                                                            
0.738552   0.0048  5                                                            
0.738568   0.0014  5                                                            
0.738935   0.0024  5                                                            
0.739044   0.0027  5                                                            
0.739221   0.0099  4                                                            
0.739425   0.1914  4                                                            
0.739468   0.0025  5                                                            
0.739579   0.0030  4                                                            
0.739747   0.0024  4                                                            
0.740055   0.0015  5                                                            
0.740161   0.0011  5                                                            
0.740374   0.2106  4                                                            
0.740408   0.1908  4                                                            
0.741392   0.0064  4                                                            
0.741412   0.0058  4                                                            
0.741471   0.0058  4                                                            
0.741580   0.0046  4                                                            
0.741818   0.0071  4                                                            
0.741984   0.0057  4                                                            
0.742491   0.0065  4                                                            
0.742491   0.0064  4                                                            
0.743184   0.1328  4                                                            
0.743184   0.1308  4                                                            
0.744031   0.1128  4                                                            
0.744077   0.1039  4                                                            
0.744128   0.0027  4                                                            
0.744150   0.0029  4                                                            
0.744427   0.0013  4                                                            
0.744627   0.0028  4                                                            
0.744910   0.0016  4                                                            
0.745387   0.0029  4                                                            
0.746041   0.0081  4                                                            
0.746330   0.0076  4                                                            
0.746451   0.0270  4                                                            
0.746522   0.0038  4                                                            
0.746585   0.0030  4                                                            
0.746694   0.0130  4                                                            
0.746868   0.0679  4                                                            
0.747031   0.0048  4                                                            
0.747192   0.0022  4                                                            
0.747278   0.0299  4                                                            
0.747345   0.0434  4                                                            
0.747365   0.0397  4                                                            
