# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Reference populations and intensities from the O2 population model for lines
# with HITRAN2020 data (intensities consistent with pmd_reflineint_mol.dat)
# 
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020)
# ID: 13 characters describing upper and lower states (HITRAN2020)
#     (see pmd_reflineint_mol.dat for details)
# isot: isotopologue (1616 or 1618)
# eli: electronic upper state (a or b)
# vi: vibrational level of upper state
# Ni: rotational level of upper state
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# gi: statistical weight (HITRAN2020)
# y: natural logarithm of population (exp(y) in Rs)
# I: reference intensity in R (based on product of exp(y), Aij, and gi)
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# 
      lam             ID  isot   eli  vi  Ni         Ei        Aij   gi         y           I 
 0.630808  OQbX20RQ1117d  1618     b   2  17  16221.398  8.164e-05   35   -7.3839   1.775e-06 
 0.630811  OQbX20RQ1116d  1618     b   2  16  16177.959  8.155e-05   33   -7.1575   2.096e-06 
 0.630812  OQbX20RQ1118d  1618     b   2  18  16267.380  8.166e-05   37   -7.5970   1.517e-06 
 0.630820  OQbX20RQ1115d  1618     b   2  15  16137.065  8.149e-05   31   -6.9245   2.484e-06 
 0.630822  OQbX20RQ1119d  1618     b   2  19  16315.903  8.175e-05   39   -7.7904   1.319e-06 
 0.630831  O2bX20PP1212d  1616     b   2  12  16114.689  8.983e-05   25   -0.2884   1.683e-03 
 0.630835  OQbX20RQ1114d  1618     b   2  14  16098.718  8.140e-05   29   -6.6906   2.933e-06 
 0.630838  OQbX20RQ1120d  1618     b   2  20  16366.965  8.177e-05   41   -7.9592   1.172e-06 
 0.630857  OQbX20RQ1113d  1618     b   2  13  16062.919  8.127e-05   27   -6.4610   3.430e-06 
 0.630861  OQbX20RQ1121d  1618     b   2  21  16420.563  8.179e-05   43   -8.1004   1.067e-06 
 0.630885  OQbX20RQ1112d  1618     b   2  12  16029.671  8.117e-05   25   -6.2394   3.959e-06 
 0.630890  OQbX20RQ1122d  1618     b   2  22  16476.695  8.183e-05   45   -8.2140   9.973e-07 
 0.630892  OQbX20RR1217d  1618     b   2  17  16221.398  7.561e-05   35   -7.3839   1.644e-06 
 0.630894  OQbX20RR1216d  1618     b   2  16  16177.959  7.516e-05   33   -7.1575   1.932e-06 
 0.630896  OQbX20RR1218d  1618     b   2  18  16267.380  7.597e-05   37   -7.5970   1.411e-06 
 0.630903  OQbX20RR1215d  1618     b   2  15  16137.065  7.467e-05   31   -6.9245   2.276e-06 
 0.630906  OQbX20RR1219d  1618     b   2  19  16315.903  7.629e-05   39   -7.7904   1.231e-06 
 0.630918  OQbX20RR1214d  1618     b   2  14  16098.718  7.412e-05   29   -6.6906   2.671e-06 
 0.630919  OQbX20RQ1111d  1618     b   2  11  15998.974  8.101e-05   23   -6.0289   4.487e-06 
 0.630923  OQbX20RR1220d  1618     b   2  20  16366.965  7.661e-05   41   -7.9592   1.098e-06 
 0.630925  OQbX20RQ1123d  1618     b   2  23  16535.358  8.185e-05   47   -8.3026   9.536e-07 
 0.630939  OQbX20RR1213d  1618     b   2  13  16062.919  7.347e-05   27   -6.4610   3.101e-06 
 0.630946  OQbX20RR1221d  1618     b   2  21  16420.563  7.689e-05   43   -8.1004   1.003e-06 
 0.630959  OQbX20RQ1110d  1618     b   2  10  15970.831  8.084e-05   21   -5.8318   4.979e-06 
 0.630967  OQbX20RR1212d  1618     b   2  12  16029.671  7.273e-05   25   -6.2394   3.547e-06 
 0.630975  OQbX20RR1222d  1618     b   2  22  16476.695  7.714e-05   45   -8.2140   9.401e-07 
 0.631000  OQbX20RR1211d  1618     b   2  11  15998.975  7.185e-05   23   -6.0289   3.979e-06 
 0.631006  OQbX20RQ1109d  1618     b   2   9  15945.242  8.064e-05   19   -5.6496   5.391e-06 
 0.631011  OQbX20RR1223d  1618     b   2  23  16535.358  7.735e-05   47   -8.3026   9.012e-07 
 0.631040  OQbX20RR1210d  1618     b   2  10  15970.831  7.082e-05   21   -5.8318   4.362e-06 
 0.631059  OQbX20RQ1108d  1618     b   2   8  15922.209  8.039e-05   17   -5.4837   5.677e-06 
 0.631086  OQbX20RR1209d  1618     b   2   9  15945.242  6.955e-05   19   -5.6496   4.650e-06 
 0.631118  OQbX20RQ1107d  1618     b   2   7  15901.732  8.006e-05   15   -5.3347   5.790e-06 
 0.631139  OQbX20RR1208d  1618     b   2   8  15922.209  6.801e-05   17   -5.4837   4.803e-06 
 0.631163  O2bX20PQ1314d  1616     b   2  14  16187.729  8.111e-05   29   -0.7092   1.157e-03 
 0.631183  OQbX20RQ1106d  1618     b   2   6  15883.813  7.966e-05   13   -5.2034   5.693e-06 
 0.631198  OQbX20RR1207d  1618     b   2   7  15901.732  6.605e-05   15   -5.3347   4.777e-06 
 0.631238  O2bX20PP1214d  1616     b   2  14  16187.730  8.829e-05   29   -0.7092   1.260e-03 
 0.631255  OQbX20RQ1105d  1618     b   2   5  15868.452  7.908e-05   11   -5.0903   5.355e-06 
 0.631262  OQbX20RR1206d  1618     b   2   6  15883.813  6.348e-05   13   -5.2034   4.537e-06 
 0.631333  OQbX20RQ1104d  1618     b   2   4  15855.650  7.828e-05    9   -4.9956   4.768e-06 
 0.631334  OQbX20RR1205d  1618     b   2   5  15868.452  6.000e-05   11   -5.0903   4.063e-06 
 0.631411  OQbX20RR1204d  1618     b   2   4  15855.650  5.497e-05    9   -4.9956   3.348e-06 
 0.631417  OQbX20RQ1103d  1618     b   2   3  15845.408  7.703e-05    7   -4.9196   3.937e-06 
 0.631494  OQbX20RR1203d  1618     b   2   3  15845.408  4.711e-05    7   -4.9196   2.408e-06 
 0.631509  OQbX20RQ1102d  1618     b   2   2  15837.726  7.477e-05    5   -4.8625   2.890e-06 
 0.631584  OQbX20RR1202d  1618     b   2   2  15837.726  3.296e-05    5   -4.8625   1.274e-06 
 0.631598  O2bX20PQ1316d  1616     b   2  16  16271.552  8.081e-05   33   -1.1136   8.757e-04 
 0.631608  OQbX20RQ1101d  1618     b   2   1  15832.604  6.255e-05    3   -4.8244   1.507e-06 
 0.631672  O2bX20PP1216d  1616     b   2  16  16271.552  8.713e-05   33   -1.1136   9.442e-04 
 0.631891  OQbX20PP1200d  1618     b   2   0  15830.044  3.291e-04    1   -4.8053   2.694e-06 
 0.631919  OQbX20PQ1301d  1618     b   2   1  15832.604  9.544e-05    3   -4.8244   2.300e-06 
 0.632005  OQbX20PP1201d  1618     b   2   1  15832.604  1.645e-04    3   -4.8244   3.964e-06 
 0.632044  OQbX20PQ1302d  1618     b   2   2  15837.726  8.986e-05    5   -4.8625   3.474e-06 
 0.632060  O2bX20PQ1318d  1616     b   2  18  16366.141  8.054e-05   37   -1.4554   6.952e-04 
 0.632126  OQbX20PP1202d  1618     b   2   2  15837.726  1.315e-04    5   -4.8625   5.083e-06 
 0.632134  O2bX20PP1218d  1616     b   2  18  16366.141  8.614e-05   37   -1.4554   7.436e-04 
 0.632172  OQbX20PQ1303d  1618     b   2   3  15845.408  8.761e-05    7   -4.9196   4.478e-06 
 0.632253  OQbX20PP1203d  1618     b   2   3  15845.408  1.173e-04    7   -4.9196   5.996e-06 
 0.632307  OQbX20PQ1304d  1618     b   2   4  15855.650  8.632e-05    9   -4.9956   5.258e-06 
 0.632387  OQbX20PP1204d  1618     b   2   4  15855.650  1.095e-04    9   -4.9956   6.669e-06 
 0.632447  OQbX20PQ1305d  1618     b   2   5  15868.452  8.551e-05   11   -5.0903   5.791e-06 
 0.632526  OQbX20PP1205d  1618     b   2   5  15868.452  1.044e-04   11   -5.0903   7.070e-06 
 0.632549  O2bX20PQ1320d  1616     b   2  20  16471.476  8.027e-05   41   -1.7035   5.991e-04 
 0.632593  OQbX20PQ1306d  1618     b   2   6  15883.813  8.491e-05   13   -5.2034   6.068e-06 
 0.632622  O2bX20PP1220d  1616     b   2  20  16471.476  8.534e-05   41   -1.7035   6.370e-04 
 0.632672  OQbX20PP1206d  1618     b   2   6  15883.813  1.009e-04   13   -5.2034   7.211e-06 
 0.632746  OQbX20PQ1307d  1618     b   2   7  15901.732  8.446e-05   15   -5.3347   6.108e-06 
 0.632824  OQbX20PP1207d  1618     b   2   7  15901.732  9.831e-05   15   -5.3347   7.110e-06 
 0.632904  OQbX20PQ1308d  1618     b   2   8  15922.209  8.411e-05   17   -5.4837   5.940e-06 
 0.632982  OQbX20PP1208d  1618     b   2   8  15922.209  9.630e-05   17   -5.4837   6.801e-06 
 0.633066  O2bX20PQ1322d  1616     b   2  22  16587.538  8.005e-05   45   -1.8602   5.607e-04 
 0.633069  OQbX20PQ1309d  1618     b   2   9  15945.242  8.380e-05   19   -5.6496   5.603e-06 
 0.633139  O2bX20PP1222d  1616     b   2  22  16587.539  8.463e-05   45   -1.8602   5.928e-04 
 0.633147  OQbX20PP1209d  1618     b   2   9  15945.242  9.471e-05   19   -5.6496   6.332e-06 
 0.633241  OQbX20PQ1310d  1618     b   2  10  15970.831  8.355e-05   21   -5.8318   5.146e-06 
 0.633318  OQbX20PP1210d  1618     b   2  10  15970.831  9.341e-05   21   -5.8318   5.753e-06 
 0.633418  OQbX20PQ1311d  1618     b   2  11  15998.975  8.333e-05   23   -6.0289   4.615e-06 
 0.633495  OQbX20PP1211d  1618     b   2  11  15998.974  9.231e-05   23   -6.0289   5.113e-06 
 0.633602  OQbX20PQ1312d  1618     b   2  12  16029.671  8.313e-05   25   -6.2394   4.055e-06 
 0.633611  O2bX20PQ1324d  1616     b   2  24  16714.305  7.978e-05   49   -1.9532   5.544e-04 
 0.633678  OQbX20PP1212d  1618     b   2  12  16029.671  9.137e-05   25   -6.2394   4.457e-06 
 0.633682  O2bX20PP1224d  1616     b   2  24  16714.305  8.394e-05   49   -1.9532   5.833e-04 
 0.633792  OQbX20PQ1313d  1618     b   2  13  16062.919  8.294e-05   27   -6.4610   3.501e-06 
 0.633868  OQbX20PP1213d  1618     b   2  13  16062.919  9.058e-05   27   -6.4610   3.823e-06 
 0.633988  OQbX20PQ1314d  1618     b   2  14  16098.718  8.278e-05   29   -6.6906   2.983e-06 
 0.634064  OQbX20PP1214d  1618     b   2  14  16098.718  8.985e-05   29   -6.6906   3.237e-06 
 0.634183  O2bX20PQ1326d  1616     b   2  26  16851.752  7.950e-05   53   -2.0123   5.632e-04 
 0.634191  OQbX20PQ1315d  1618     b   2  15  16137.065  8.259e-05   31   -6.9245   2.518e-06 
 0.634254  O2bX20PP1226d  1616     b   2  26  16851.752  8.336e-05   53   -2.0123   5.906e-04 
 0.634267  OQbX20PP1215d  1618     b   2  15  16137.065  8.922e-05   31   -6.9245   2.720e-06 
 0.634400  OQbX20PQ1316d  1618     b   2  16  16177.959  8.246e-05   33   -7.1575   2.120e-06 
 0.634475  OQbX20PP1216d  1618     b   2  16  16177.959  8.869e-05   33   -7.1575   2.280e-06 
 0.634616  OQbX20PQ1317d  1618     b   2  17  16221.398  8.228e-05   35   -7.3839   1.789e-06 
 0.634691  OQbX20PP1217d  1618     b   2  17  16221.398  8.816e-05   35   -7.3839   1.917e-06 
 0.634783  O2bX20PQ1328d  1616     b   2  28  16999.852  7.924e-05   57   -2.0572   5.773e-04 
 0.634838  OQbX20PQ1318d  1618     b   2  18  16267.380  8.219e-05   37   -7.5970   1.527e-06 
 0.634854  O2bX20PP1228d  1616     b   2  28  16999.852  8.282e-05   57   -2.0572   6.034e-04 
 0.634912  OQbX20PP1218d  1618     b   2  18  16267.380  8.768e-05   37   -7.5970   1.628e-06 
 0.635066  OQbX20PQ1319d  1618     b   2  19  16315.903  8.202e-05   39   -7.7904   1.323e-06 
 0.635140  OQbX20PP1219d  1618     b   2  19  16315.903  8.727e-05   39   -7.7904   1.408e-06 
 0.635301  OQbX20PQ1320d  1618     b   2  20  16366.965  8.188e-05   41   -7.9592   1.173e-06 
 0.635375  OQbX20PP1220d  1618     b   2  20  16366.965  8.686e-05   41   -7.9592   1.244e-06 
