# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Reference continuum components of PALACE (consistent with palace_cont.fits)
# based on X-shooter-related measurements (noll+24)
# 
# Column names:
# lam: vacuum wavelength in µm
# trans: atmospheric transmission for standard conditions at Cerro Paranal
#        (noll+12), PWV = 2.5 mm, and zenith
# fH2O: fraction of H2O with respect to optical depth (based on transmission
#       spectra with PWV = 1 and 5 mm)
# fcHO2: reference continuum flux in R/nm for variability class HO2
# fcFeO: reference continuum flux in R/nm for variability class FeO
# fcO2Ac: reference continuum flux in R/nm for variability class O2Ac
# isX: wavelength with X-shooter measurements (noll+24)? 1 = yes, 0 = no
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# noll+24: https://doi.org/10.5194/acp-24-1143-2024
# 
     lam   trans   fH2O    fcHO2    fcFeO   fcO2Ac  isX 
 0.30182  0.1460  0.000    0.216    0.407    3.631    0 
 0.30184  0.1463  0.000    0.216    0.407    3.630    0 
 0.30186  0.1468  0.000    0.216    0.407    3.629    0 
 0.30188  0.1473  0.000    0.216    0.407    3.628    0 
 0.30190  0.1476  0.000    0.216    0.407    3.628    0 
 0.30192  0.1479  0.000    0.216    0.407    3.627    0 
 0.30194  0.1483  0.000    0.216    0.407    3.626    0 
 0.30196  0.1486  0.000    0.216    0.407    3.625    0 
 0.30198  0.1490  0.000    0.216    0.407    3.625    0 
 0.30200  0.1494  0.000    0.216    0.407    3.624    0 
 0.30202  0.1500  0.000    0.216    0.407    3.623    0 
 0.30204  0.1506  0.000    0.216    0.407    3.622    0 
 0.30206  0.1513  0.000    0.216    0.407    3.622    0 
 0.30208  0.1520  0.000    0.216    0.407    3.621    0 
 0.30210  0.1525  0.000    0.216    0.407    3.620    0 
 0.30212  0.1532  0.000    0.216    0.407    3.619    0 
 0.30214  0.1538  0.000    0.216    0.407    3.619    0 
 0.30216  0.1546  0.000    0.216    0.407    3.618    0 
 0.30218  0.1555  0.000    0.216    0.407    3.617    0 
 0.30220  0.1564  0.000    0.216    0.407    3.616    0 
 0.30222  0.1574  0.000    0.216    0.407    3.616    0 
 0.30224  0.1583  0.000    0.216    0.407    3.615    0 
 0.30226  0.1588  0.000    0.216    0.407    3.614    0 
 0.30228  0.1591  0.000    0.216    0.407    3.613    0 
 0.30230  0.1597  0.000    0.216    0.407    3.613    0 
 0.30232  0.1604  0.000    0.216    0.407    3.612    0 
 0.30234  0.1612  0.000    0.216    0.407    3.611    0 
 0.30236  0.1619  0.000    0.216    0.407    3.610    0 
 0.30238  0.1629  0.000    0.216    0.407    3.610    0 
 0.30240  0.1643  0.000    0.216    0.407    3.609    0 
 0.30242  0.1657  0.000    0.216    0.407    3.608    0 
 0.30244  0.1669  0.000    0.216    0.407    3.607    0 
 0.30246  0.1679  0.000    0.216    0.407    3.607    0 
 0.30248  0.1690  0.000    0.216    0.407    3.606    0 
 0.30250  0.1702  0.000    0.216    0.407    3.605    0 
 0.30252  0.1714  0.000    0.216    0.407    3.604    0 
 0.30254  0.1728  0.000    0.216    0.407    3.604    0 
 0.30256  0.1740  0.000    0.216    0.407    3.603    0 
 0.30258  0.1751  0.000    0.216    0.407    3.602    0 
 0.30260  0.1761  0.000    0.216    0.407    3.601    0 
 0.30262  0.1772  0.000    0.216    0.407    3.601    0 
 0.30264  0.1784  0.000    0.216    0.407    3.600    0 
 0.30266  0.1796  0.000    0.216    0.407    3.599    0 
 0.30268  0.1810  0.000    0.216    0.407    3.598    0 
 0.30270  0.1824  0.000    0.216    0.407    3.598    0 
 0.30272  0.1838  0.000    0.216    0.407    3.597    0 
 0.30274  0.1853  0.000    0.216    0.407    3.596    0 
 0.30276  0.1868  0.000    0.216    0.407    3.595    0 
 0.30278  0.1883  0.000    0.216    0.407    3.595    0 
 0.30280  0.1896  0.000    0.216    0.407    3.594    0 
 0.30282  0.1904  0.000    0.216    0.407    3.593    0 
 0.30284  0.1913  0.000    0.216    0.407    3.592    0 
 0.30286  0.1921  0.000    0.216    0.407    3.592    0 
 0.30288  0.1931  0.000    0.216    0.407    3.591    0 
 0.30290  0.1943  0.000    0.216    0.407    3.590    0 
 0.30292  0.1956  0.000    0.216    0.407    3.589    0 
 0.30294  0.1972  0.000    0.216    0.407    3.589    0 
 0.30296  0.1989  0.000    0.216    0.407    3.588    0 
 0.30298  0.2005  0.000    0.216    0.407    3.587    0 
 0.30300  0.2021  0.000    0.216    0.407    3.586    0 
 0.30302  0.2036  0.000    0.216    0.407    3.586    0 
 0.30304  0.2050  0.000    0.216    0.407    3.585    0 
 0.30306  0.2063  0.000    0.216    0.407    3.584    0 
 0.30308  0.2074  0.000    0.216    0.407    3.583    0 
 0.30310  0.2083  0.000    0.216    0.407    3.583    0 
 0.30312  0.2091  0.000    0.216    0.407    3.582    0 
 0.30314  0.2099  0.000    0.216    0.407    3.581    0 
 0.30316  0.2107  0.000    0.216    0.407    3.580    0 
 0.30318  0.2117  0.000    0.216    0.407    3.580    0 
 0.30320  0.2128  0.000    0.216    0.407    3.579    0 
 0.30322  0.2142  0.000    0.216    0.407    3.578    0 
 0.30324  0.2156  0.000    0.216    0.407    3.577    0 
 0.30326  0.2169  0.000    0.216    0.407    3.577    0 
 0.30328  0.2179  0.000    0.216    0.407    3.576    0 
 0.30330  0.2185  0.000    0.216    0.407    3.575    0 
 0.30332  0.2183  0.000    0.216    0.407    3.574    0 
 0.30334  0.2182  0.000    0.216    0.408    3.574    0 
 0.30336  0.2182  0.000    0.216    0.408    3.573    0 
 0.30338  0.2186  0.000    0.216    0.408    3.572    0 
 0.30340  0.2199  0.000    0.216    0.408    3.571    0 
 0.30342  0.2219  0.000    0.216    0.408    3.571    0 
 0.30344  0.2231  0.000    0.216    0.408    3.570    0 
 0.30346  0.2230  0.000    0.216    0.408    3.569    0 
 0.30348  0.2230  0.000    0.216    0.408    3.568    0 
 0.30350  0.2238  0.000    0.216    0.408    3.568    0 
 0.30352  0.2247  0.000    0.216    0.408    3.567    0 
 0.30354  0.2253  0.000    0.216    0.408    3.566    0 
 0.30356  0.2255  0.000    0.216    0.408    3.565    0 
 0.30358  0.2261  0.000    0.216    0.408    3.565    0 
 0.30360  0.2269  0.000    0.216    0.408    3.564    0 
 0.30362  0.2278  0.000    0.216    0.408    3.563    0 
 0.30364  0.2280  0.000    0.216    0.408    3.562    0 
 0.30366  0.2284  0.000    0.216    0.408    3.562    0 
 0.30368  0.2291  0.000    0.216    0.408    3.561    0 
 0.30370  0.2301  0.000    0.216    0.408    3.560    0 
 0.30372  0.2308  0.000    0.216    0.408    3.559    0 
 0.30374  0.2314  0.000    0.216    0.408    3.559    0 
 0.30376  0.2319  0.000    0.216    0.408    3.558    0 
 0.30378  0.2319  0.000    0.216    0.408    3.557    0 
 0.30380  0.2318  0.000    0.216    0.408    3.556    0 
 0.30382  0.2316  0.000    0.216    0.408    3.556    0 
 0.30384  0.2314  0.000    0.216    0.408    3.555    0 
 0.30386  0.2311  0.000    0.216    0.408    3.554    0 
 0.30388  0.2308  0.000    0.216    0.408    3.553    0 
 0.30390  0.2306  0.000    0.216    0.408    3.553    0 
 0.30392  0.2307  0.000    0.216    0.408    3.552    0 
 0.30394  0.2309  0.000    0.216    0.408    3.551    0 
 0.30396  0.2311  0.000    0.216    0.408    3.550    0 
 0.30398  0.2314  0.000    0.216    0.408    3.550    0 
 0.30400  0.2315  0.000    0.216    0.408    3.549    0 
 0.30402  0.2317  0.000    0.216    0.408    3.548    0 
 0.30404  0.2321  0.000    0.216    0.408    3.547    0 
 0.30406  0.2330  0.000    0.216    0.408    3.547    0 
 0.30408  0.2337  0.000    0.216    0.408    3.546    0 
 0.30410  0.2341  0.000    0.216    0.408    3.545    0 
 0.30412  0.2347  0.000    0.216    0.408    3.544    0 
 0.30414  0.2357  0.000    0.216    0.408    3.544    0 
 0.30416  0.2371  0.000    0.216    0.408    3.543    0 
 0.30418  0.2387  0.000    0.216    0.408    3.542    0 
 0.30420  0.2405  0.000    0.216    0.408    3.541    0 
 0.30422  0.2421  0.000    0.216    0.408    3.541    0 
 0.30424  0.2434  0.000    0.216    0.408    3.540    0 
 0.30426  0.2445  0.000    0.216    0.408    3.539    0 
 0.30428  0.2455  0.000    0.216    0.408    3.538    0 
 0.30430  0.2465  0.000    0.216    0.408    3.538    0 
 0.30432  0.2475  0.000    0.216    0.408    3.537    0 
 0.30434  0.2487  0.000    0.216    0.408    3.536    0 
 0.30436  0.2499  0.000    0.216    0.408    3.535    0 
 0.30438  0.2509  0.000    0.216    0.408    3.535    0 
 0.30440  0.2520  0.000    0.216    0.408    3.534    0 
 0.30442  0.2530  0.000    0.216    0.408    3.533    0 
 0.30444  0.2540  0.000    0.216    0.408    3.532    0 
 0.30446  0.2549  0.000    0.216    0.408    3.532    0 
 0.30448  0.2559  0.000    0.216    0.408    3.531    0 
 0.30450  0.2568  0.000    0.216    0.408    3.530    0 
 0.30452  0.2576  0.000    0.216    0.408    3.529    0 
 0.30454  0.2586  0.000    0.216    0.408    3.529    0 
 0.30456  0.2598  0.000    0.216    0.408    3.528    0 
 0.30458  0.2613  0.000    0.216    0.408    3.527    0 
 0.30460  0.2624  0.000    0.216    0.408    3.526    0 
 0.30462  0.2631  0.000    0.216    0.408    3.526    0 
 0.30464  0.2648  0.000    0.216    0.408    3.525    0 
 0.30466  0.2679  0.000    0.216    0.408    3.524    0 
 0.30468  0.2710  0.000    0.216    0.408    3.523    0 
 0.30470  0.2727  0.000    0.216    0.408    3.523    0 
 0.30472  0.2737  0.000    0.216    0.408    3.522    0 
 0.30474  0.2754  0.000    0.216    0.408    3.521    0 
 0.30476  0.2776  0.000    0.216    0.408    3.520    0 
 0.30478  0.2793  0.000    0.216    0.409    3.520    0 
 0.30480  0.2802  0.000    0.216    0.409    3.519    0 
 0.30482  0.2810  0.000    0.216    0.409    3.518    0 
 0.30484  0.2821  0.000    0.216    0.409    3.517    0 
 0.30486  0.2834  0.000    0.216    0.409    3.517    0 
 0.30488  0.2851  0.000    0.216    0.409    3.516    0 
 0.30490  0.2872  0.000    0.216    0.409    3.515    0 
 0.30492  0.2894  0.000    0.216    0.409    3.514    0 
 0.30494  0.2916  0.000    0.216    0.409    3.514    0 
 0.30496  0.2938  0.000    0.216    0.409    3.513    0 
 0.30498  0.2959  0.000    0.216    0.409    3.512    0 
 0.30500  0.2977  0.000    0.216    0.409    3.511    0 
 0.30502  0.2993  0.000    0.216    0.409    3.511    0 
 0.30504  0.3006  0.000    0.216    0.409    3.510    0 
 0.30506  0.3020  0.000    0.216    0.409    3.509    0 
 0.30508  0.3031  0.000    0.216    0.409    3.508    0 
 0.30510  0.3044  0.000    0.216    0.409    3.508    0 
 0.30512  0.3058  0.000    0.216    0.409    3.507    0 
 0.30514  0.3074  0.000    0.216    0.409    3.506    0 
 0.30516  0.3090  0.000    0.216    0.409    3.505    0 
 0.30518  0.3107  0.000    0.216    0.409    3.505    0 
 0.30520  0.3125  0.000    0.216    0.409    3.504    0 
 0.30522  0.3143  0.000    0.216    0.409    3.503    0 
 0.30524  0.3160  0.000    0.216    0.409    3.502    0 
 0.30526  0.3170  0.000    0.216    0.409    3.502    0 
 0.30528  0.3179  0.000    0.216    0.409    3.501    0 
 0.30530  0.3184  0.000    0.216    0.409    3.500    0 
 0.30532  0.3188  0.000    0.216    0.409    3.499    0 
 0.30534  0.3196  0.000    0.216    0.409    3.499    0 
 0.30536  0.3205  0.000    0.216    0.409    3.498    0 
 0.30538  0.3218  0.000    0.216    0.409    3.497    0 
 0.30540  0.3226  0.000    0.216    0.409    3.496    0 
 0.30542  0.3237  0.000    0.216    0.409    3.496    0 
 0.30544  0.3249  0.000    0.216    0.409    3.495    0 
 0.30546  0.3263  0.000    0.216    0.409    3.494    0 
 0.30548  0.3272  0.000    0.216    0.409    3.493    0 
 0.30550  0.3271  0.000    0.216    0.409    3.493    0 
 0.30552  0.3270  0.000    0.216    0.409    3.492    0 
 0.30554  0.3272  0.000    0.216    0.409    3.491    0 
 0.30556  0.3273  0.000    0.216    0.409    3.490    0 
 0.30558  0.3273  0.000    0.216    0.409    3.490    0 
 0.30560  0.3274  0.000    0.216    0.409    3.489    0 
 0.30562  0.3275  0.000    0.216    0.409    3.488    0 
 0.30564  0.3282  0.000    0.216    0.409    3.487    0 
 0.30566  0.3283  0.000    0.216    0.409    3.487    0 
 0.30568  0.3282  0.000    0.216    0.409    3.486    0 
 0.30570  0.3279  0.000    0.216    0.409    3.485    0 
 0.30572  0.3279  0.000    0.216    0.409    3.484    0 
 0.30574  0.3282  0.000    0.216    0.409    3.484    0 
 0.30576  0.3286  0.000    0.216    0.409    3.483    0 
 0.30578  0.3293  0.000    0.216    0.409    3.482    0 
 0.30580  0.3298  0.000    0.216    0.409    3.481    0 
 0.30582  0.3305  0.000    0.216    0.409    3.481    0 
 0.30584  0.3310  0.000    0.216    0.409    3.480    0 
 0.30586  0.3320  0.000    0.216    0.409    3.479    0 
 0.30588  0.3334  0.000    0.216    0.409    3.478    0 
 0.30590  0.3345  0.000    0.216    0.409    3.478    0 
 0.30592  0.3352  0.000    0.216    0.409    3.477    0 
 0.30594  0.3358  0.000    0.216    0.409    3.476    0 
 0.30596  0.3363  0.000    0.216    0.409    3.475    0 
 0.30598  0.3369  0.000    0.216    0.409    3.475    0 
 0.30600  0.3377  0.000    0.216    0.409    3.474    0 
 0.30602  0.3388  0.000    0.216    0.409    3.473    0 
 0.30604  0.3398  0.000    0.216    0.409    3.472    0 
 0.30606  0.3403  0.000    0.216    0.409    3.472    0 
 0.30608  0.3409  0.000    0.216    0.409    3.471    0 
 0.30610  0.3407  0.000    0.216    0.409    3.470    0 
 0.30612  0.3406  0.000    0.216    0.409    3.469    0 
 0.30614  0.3404  0.000    0.216    0.409    3.469    0 
 0.30616  0.3402  0.000    0.216    0.410    3.468    0 
 0.30618  0.3399  0.000    0.216    0.410    3.467    0 
 0.30620  0.3394  0.000    0.216    0.410    3.466    0 
 0.30622  0.3388  0.000    0.216    0.410    3.466    0 
 0.30624  0.3388  0.000    0.216    0.410    3.465    0 
 0.30626  0.3391  0.000    0.216    0.410    3.464    0 
 0.30628  0.3394  0.000    0.216    0.410    3.463    0 
 0.30630  0.3400  0.000    0.216    0.410    3.463    0 
 0.30632  0.3407  0.000    0.216    0.410    3.462    0 
 0.30634  0.3408  0.000    0.216    0.410    3.461    0 
 0.30636  0.3410  0.000    0.216    0.410    3.460    0 
 0.30638  0.3418  0.000    0.215    0.410    3.460    0 
 0.30640  0.3428  0.000    0.215    0.410    3.459    0 
 0.30642  0.3440  0.000    0.215    0.410    3.458    0 
 0.30644  0.3455  0.000    0.215    0.410    3.457    0 
 0.30646  0.3472  0.000    0.215    0.410    3.457    0 
 0.30648  0.3491  0.000    0.215    0.410    3.456    0 
 0.30650  0.3511  0.000    0.215    0.410    3.455    0 
 0.30652  0.3529  0.000    0.215    0.410    3.454    0 
 0.30654  0.3546  0.000    0.215    0.410    3.454    0 
 0.30656  0.3562  0.000    0.215    0.410    3.453    0 
 0.30658  0.3575  0.000    0.215    0.410    3.452    0 
 0.30660  0.3589  0.000    0.215    0.410    3.451    0 
 0.30662  0.3607  0.000    0.215    0.410    3.451    0 
 0.30664  0.3626  0.000    0.215    0.410    3.450    0 
 0.30666  0.3642  0.000    0.215    0.410    3.449    0 
 0.30668  0.3657  0.000    0.215    0.410    3.448    0 
 0.30670  0.3670  0.000    0.215    0.410    3.448    0 
 0.30672  0.3677  0.000    0.215    0.410    3.447    0 
 0.30674  0.3689  0.000    0.215    0.410    3.446    0 
 0.30676  0.3701  0.000    0.215    0.410    3.445    0 
 0.30678  0.3714  0.000    0.215    0.410    3.445    0 
 0.30680  0.3724  0.000    0.215    0.410    3.444    0 
 0.30682  0.3730  0.000    0.215    0.410    3.443    0 
 0.30684  0.3739  0.000    0.215    0.410    3.442    0 
 0.30686  0.3749  0.000    0.215    0.410    3.442    0 
 0.30688  0.3764  0.000    0.215    0.410    3.441    0 
 0.30690  0.3788  0.000    0.215    0.410    3.440    0 
 0.30692  0.3816  0.000    0.215    0.410    3.439    0 
 0.30694  0.3840  0.000    0.215    0.410    3.439    0 
 0.30696  0.3862  0.000    0.215    0.410    3.438    0 
 0.30698  0.3884  0.000    0.215    0.410    3.437    0 
 0.30700  0.3906  0.000    0.215    0.410    3.436    0 
 0.30702  0.3926  0.000    0.215    0.410    3.436    0 
 0.30704  0.3942  0.000    0.215    0.410    3.435    0 
 0.30706  0.3958  0.000    0.215    0.410    3.434    0 
 0.30708  0.3977  0.000    0.215    0.410    3.433    0 
 0.30710  0.4001  0.000    0.215    0.410    3.433    0 
 0.30712  0.4023  0.000    0.215    0.410    3.432    0 
 0.30714  0.4043  0.000    0.215    0.410    3.431    0 
 0.30716  0.4063  0.000    0.215    0.410    3.430    0 
 0.30718  0.4086  0.000    0.215    0.410    3.430    0 
 0.30720  0.4108  0.000    0.215    0.410    3.429    0 
 0.30722  0.4128  0.000    0.215    0.410    3.428    0 
 0.30724  0.4147  0.000    0.215    0.410    3.427    0 
 0.30726  0.4162  0.000    0.215    0.410    3.427    0 
 0.30728  0.4176  0.000    0.215    0.410    3.426    0 
 0.30730  0.4190  0.000    0.215    0.410    3.425    0 
 0.30732  0.4202  0.000    0.215    0.410    3.424    0 
 0.30734  0.4214  0.000    0.215    0.410    3.424    0 
 0.30736  0.4227  0.000    0.215    0.410    3.423    0 
 0.30738  0.4239  0.000    0.215    0.410    3.422    0 
 0.30740  0.4254  0.000    0.215    0.410    3.421    0 
 0.30742  0.4270  0.000    0.215    0.410    3.421    0 
 0.30744  0.4287  0.000    0.215    0.410    3.420    0 
 0.30746  0.4307  0.000    0.215    0.411    3.419    0 
 0.30748  0.4326  0.000    0.215    0.411    3.418    0 
 0.30750  0.4343  0.000    0.215    0.411    3.418    0 
 0.30752  0.4356  0.000    0.215    0.411    3.417    0 
 0.30754  0.4366  0.000    0.215    0.411    3.416    0 
 0.30756  0.4373  0.000    0.215    0.411    3.415    0 
 0.30758  0.4381  0.000    0.215    0.411    3.415    0 
 0.30760  0.4384  0.000    0.215    0.411    3.414    0 
 0.30762  0.4388  0.000    0.215    0.411    3.413    0 
 0.30764  0.4394  0.000    0.215    0.411    3.412    0 
 0.30766  0.4406  0.000    0.215    0.411    3.412    0 
 0.30768  0.4420  0.000    0.215    0.411    3.411    0 
 0.30770  0.4430  0.000    0.215    0.411    3.410    0 
 0.30772  0.4438  0.000    0.215    0.411    3.409    0 
 0.30774  0.4445  0.000    0.215    0.411    3.409    0 
 0.30776  0.4444  0.000    0.215    0.411    3.408    0 
 0.30778  0.4439  0.000    0.215    0.411    3.407    0 
 0.30780  0.4429  0.000    0.215    0.411    3.406    0 
 0.30782  0.4419  0.000    0.215    0.411    3.406    0 
 0.30784  0.4416  0.000    0.215    0.411    3.405    0 
 0.30786  0.4417  0.000    0.215    0.411    3.404    0 
 0.30788  0.4417  0.000    0.215    0.411    3.403    0 
