# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
#
# Reference populations and intensities from the OH population model for lines
# with HITRAN2020 data (intensities consistent with pmd_reflineint_mol.dat)
#
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020)
# ID: 13 characters describing upper and lower states (HITRAN2020)
# (see pmd_reflineint_mol.dat for details)
# vi: vibrational level of upper state
# Fi: electronic substate of upper state (1 or 2)
# Ni: rotational level of upper state
# pi: parity of upper state (e or f)
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# Aijc: corrected Einstein-A coefficient in 1/s (see pmd_corrA_Ohbands.dat
# for branch and band corrections and noll+20 for Lambda doublets)
# gi: statistical weight (HITRAN2020)
# y: natural logarithm of population (exp(y) in Rs)
# I: reference intensity in R (based on product of exp(y), Aijc, and gi)
#
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+20: https://doi.org/10.5194/acp-20-5269-2020
#
#
# lvmsky empirical OH coefficients for Skyfar-response calibration.
# Parent PALACE table: pmd_popmodel_OH_telluric_upper_parity_lsf_adam_25000_v1.dat
# Run fingerprint: a53af79abce4efaf70f7faa036ab6b16049d8b015227e5656c5e835ac1243d2b
# Calibration: fixed-baseline linear weighted SSE with VNF q-closure; ridge lambda=0.1.
# Corpus: 12857 FLUX_SKY_FAR spectra; MJD-disjoint train/validation/holdout.
# Mapping: 22058 rows; only Aijc and I changed; sum(Aijc * gi) preserved per (vi, Ni, Fi) VNF group.
lam ID vi Fi Ni pi Ei Aij Aijc gi y I
0.354125 OHXXX0RQ2106f 10 2 6 f 28782.185 1.006e-07 2.368e-08 24 -6.81 6.268e-10
0.354128 OHXXX0QQ2201f 10 2 1 f 28364.682 5.472e-06 5.279e-06 4 -4.739 1.848e-07
0.354131 OHXXX0QQ2201e 10 2 1 e 28364.626 5.472e-06 5.279e-06 4 -4.738 1.849e-07
0.354139 OHXXX0RQ2106e 10 2 6 e 28782.301 1.04e-07 2.368e-08 24 -6.811 6.262e-10
0.354182 OHXXX0QQ1101f 10 1 1 f 28234.09 9.663e-06 9.323e-06 8 -4.091 1.248e-06
0.354183 OHXXX0QQ1101e 10 1 1 e 28234.073 9.664e-06 9.323e-06 8 -4.09 1.248e-06
0.354321 OHXXX0RR2205e 10 2 5 e 28652.251 1.371e-05 1.125e-05 20 -6.165 4.726e-07
0.354324 OHXXX0RR2205f 10 2 5 f 28652.251 1.371e-05 1.125e-05 20 -6.165 4.726e-07
0.354389 OHXXX0RR1105e 10 1 5 e 28572.701 1.39e-05 1.141e-05 24 -5.77 8.54e-07
0.354393 OHXXX0RR1105f 10 1 5 f 28573.147 1.391e-05 1.141e-05 24 -5.773 8.512e-07
0.35444 OHXXX0QQ2202f 10 2 2 f 28400.996 1.231e-06 8.926e-07 8 -4.919 5.219e-08
0.354445 OHXXX0QQ2202e 10 2 2 e 28400.9 1.231e-06 8.926e-07 8 -4.918 5.223e-08
0.35457 OHXXX0QQ1102f 10 1 2 f 28286.911 4.165e-06 3.021e-06 12 -4.353 4.666e-07
0.354573 OHXXX0QQ1102e 10 1 2 e 28286.848 4.166e-06 3.021e-06 12 -4.352 4.668e-07
0.354604 OHXXX0SR2110e 10 2 10 e 29521.743 1.232e-07 8.23e-08 40 -10.481 9.243e-11
0.354654 OHXXX0SR2110f 10 2 10 f 29520.784 1.187e-07 8.23e-08 40 -10.473 9.31e-11
0.354736 OHXXX0QP2104e 10 2 4 e 28545.059 2.151e-07 2.496e-07 16 -5.633 1.428e-08
0.354746 OHXXX0QP2104f 10 2 4 f 28545.133 2.099e-07 2.496e-07 16 -5.634 1.427e-08
0.354898 OHXXX0PP2201e 10 2 1 e 28364.626 9.04e-06 9.492e-06 4 -4.738 3.324e-07
0.3549 OHXXX0PP2201f 10 2 1 f 28364.682 9.043e-06 9.492e-06 4 -4.739 3.323e-07
0.354936 OHXXX0RR2206e 10 2 6 e 28782.301 1.623e-05 1.282e-05 24 -6.811 3.392e-07
0.354937 OHXXX0RR2206f 10 2 6 f 28782.185 1.623e-05 1.282e-05 24 -6.81 3.395e-07
0.354956 OHXXX0QQ2203f 10 2 3 f 28461.253 6.211e-07 3.384e-07 12 -5.218 2.201e-08
0.354961 OHXXX0QQ2203e 10 2 3 e 28461.148 6.207e-07 3.384e-07 12 -5.217 2.203e-08
0.355025 OHXXX0RQ2107f 10 2 7 f 28934.485 9.742e-08 1.724e-08 28 -7.565 2.502e-10
0.355027 OHXXX0RR1106e 10 1 6 e 28710.475 1.648e-05 1.303e-05 28 -6.453 5.746e-07
0.355034 OHXXX0RR1106f 10 1 6 f 28711.13 1.649e-05 1.303e-05 28 -6.458 5.717e-07
0.355044 OHXXX0RQ2107e 10 2 7 e 28934.759 1.008e-07 1.724e-08 28 -7.567 2.496e-10
0.355125 OHXXX0QQ1103f 10 1 3 f 28361.001 2.347e-06 1.285e-06 16 -4.72 1.832e-07
0.355133 OHXXX0QQ1103e 10 1 3 e 28360.851 2.348e-06 1.274e-06 16 -4.719 1.819e-07
0.355235 OHXXX0PP1101e 10 1 1 e 28234.073 5.213e-06 5.474e-06 8 -4.09 7.327e-07
0.355238 OHXXX0PP1101f 10 1 1 f 28234.09 5.215e-06 5.474e-06 8 -4.091 7.326e-07
0.355671 OHXXX0QQ2204f 10 2 4 f 28545.133 4.13e-07 1.691e-07 16 -5.634 9.67e-09
0.355674 OHXXX0QQ2204e 10 2 4 e 28545.059 4.124e-07 1.691e-07 16 -5.633 9.676e-09
0.355718 OHXXX0PP2202e 10 2 2 e 28400.9 7.59e-06 8.274e-06 8 -4.918 4.841e-07
0.355721 OHXXX0PP2202f 10 2 2 f 28400.996 7.595e-06 8.274e-06 8 -4.919 4.838e-07
0.355746 OHXXX0RR2207f 10 2 7 f 28934.485 1.887e-05 1.436e-05 28 -7.565 2.084e-07
0.355746 OHXXX0RR2207e 10 2 7 e 28934.759 1.887e-05 1.436e-05 28 -7.567 2.08e-07
