output_row,stack_row,exposure,status,elapsed_seconds,r2,rms_residual_scaled,closure_max_abs,skyline_fraction,weight_min,weight_median,weight_max
0,91,3897,Solved,6.342727167007979,0.9347073280309717,2.0543988019709087,0.0,0.608660591887751,0.0006002651682516868,0.006769025021564635,13.538050043129271
1,92,3898,Solved,6.286073750001378,0.9382879021284405,1.9388072381202224,0.0,0.608660591887751,0.0006006065813823909,0.006755540111144197,13.511080222288394
2,106,3912,Solved,6.155818999977782,0.939424962443535,1.4170210472177898,0.0,0.608660591887751,0.0006001392921596479,0.006717650076260685,13.43530015252137
3,107,3913,Solved,6.390363709011581,0.9428995759590076,1.3406126888963097,0.0,0.608660591887751,0.0005992494040411692,0.006741317671372235,13.48263534274447
4,110,3916,Solved,5.842201833991567,0.9374756749397763,1.2091879565382844,0.0,0.6087412305459237,0.0006015866494962447,0.00674091134387274,13.48182268774548
5,113,3920,Solved,5.97807145799743,0.9291513992406744,1.291491601303007,0.0,0.6087412305459237,0.0006010329132790482,0.0067169969907280615,13.433993981456123
6,114,3921,Solved,6.006015417020535,0.9310727360261132,1.2041184669958014,0.0,0.6088218692040964,0.0006003420248966892,0.006733182317673255,13.46636463534651
7,115,3922,Solved,5.984101709007518,0.9338884947482008,1.161022676378871,0.0,0.6088218692040964,0.0,0.006747314379148097,13.494628758296194
8,116,3923,Solved,5.5757488750095945,0.9350955002942043,1.122422472518429,0.0,0.6088218692040964,0.0,0.006754440951839825,13.50888190367965
9,124,3970,Solved,5.786566666007275,0.9746311799851926,1.0494154858604745,0.0,0.6087412305459237,0.0,0.00670690869355508,13.413817387110159
10,125,3971,Solved,5.972376167017501,0.9739885702580985,1.0267247282663998,0.0,0.6087412305459237,0.0,0.0067115703186659765,13.423140637331953
11,126,3972,Solved,5.817851458006771,0.9733229095716012,1.0546111775488067,0.0,0.6087412305459237,0.0,0.006694381756804295,13.38876351360859
12,130,3977,Solved,5.733404833998065,0.9648513576782846,1.9711936421525516,0.0,0.608660591887751,0.0005998766947679338,0.006659809182009888,13.319618364019776
13,131,3978,Solved,5.907898166013183,0.9678675821036319,1.8541599633950243,0.0,0.608660591887751,0.0006007143111039779,0.006675447843981937,13.350895687963872
14,132,3979,Solved,5.935024917009287,0.9703638671181953,1.7788658845850456,0.0,0.608660591887751,0.0006006486643305041,0.006681418203469408,13.362836406938815
15,135,3983,Solved,5.89381691699964,0.9725500005217107,1.5135917643910326,0.0,0.6087412305459237,0.0,0.006654799072724911,13.309598145449822
16,136,3984,Solved,5.908503874990856,0.971128587232553,1.5570322266405923,0.0,0.6087412305459237,0.0,0.006672127357072679,13.344254714145357
17,137,3985,Solved,6.0061697920027655,0.9713695164305738,1.5559452247139525,0.0,0.608660591887751,0.0,0.006649209656610404,13.298419313220807
18,138,3986,Solved,6.0718577499792445,0.9587460435246322,1.588083138084118,0.0,0.608660591887751,0.0006047787838846759,0.0068463882182419455,13.692776436483891
19,139,3987,Solved,6.0484589579864405,0.954781373642225,1.683572719219244,0.0,0.6087412305459237,0.0006037001499355312,0.006692522513906847,13.385045027813694
20,141,3989,Solved,6.2414582499768585,0.9743258115186778,1.664147124177616,0.0,0.6087412305459237,0.0,0.006714222590233257,13.428445180466513
21,143,3991,Solved,5.848058624978876,0.9757452364630447,1.6601058220188778,0.0,0.6087412305459237,0.0,0.00670407379849647,13.40814759699294
22,160,4105,Solved,6.4926704579847865,0.9788140883061149,1.9257380983546541,0.0,0.608660591887751,0.0006027305616230281,0.006700870682341677,13.401741364683355
23,161,4106,Solved,6.208501542016165,0.9778317904618667,1.9657596047379466,0.0,0.608660591887751,0.0006005528091716611,0.006682357075655152,13.364714151310304
24,162,4107,Solved,5.759780541004147,0.9785011190069494,1.9264189498195468,0.0,0.608660591887751,0.0006015906887090893,0.006650653595553588,13.301307191107174
25,163,4108,Solved,5.654989458998898,0.973822348202529,2.128751322401683,0.0,0.608660591887751,0.0006008699079093736,0.006649363306129727,13.298726612259452
26,166,4114,Solved,5.3926982909906656,0.9784620723370834,1.7534029985785171,0.0,0.6088218692040964,0.0006013175043147592,0.006715743963234534,13.43148792646907
27,167,4115,Solved,5.572493792016758,0.9772901284013613,1.6476661503136947,0.0,0.6088218692040964,0.0006005179438351113,0.006663901451332337,13.327802902664674
28,168,4116,Solved,6.175274041015655,0.9771567963096708,1.6228448192682905,0.0,0.6088218692040964,0.0,0.006685382460212706,13.370764920425412
29,169,4117,Solved,5.9908404590096325,0.9766277460876902,1.6357231406977064,0.0,0.6088218692040964,0.0006003142242727359,0.0066641782337375855,13.32835646747517
30,171,4119,Solved,5.943422417010879,0.9763654301334429,1.6537792603255284,0.0,0.6088218692040964,0.0005996387974047904,0.006667129129237238,13.334258258474476
31,172,4120,Solved,6.170741708017886,0.9759782686329201,1.7679456134815503,0.0,0.6088218692040964,0.0006002850777508639,0.006710827740629183,13.421655481258366
32,185,4161,Solved,6.152597374981269,0.9730278249012352,1.8193441964772308,0.0,0.6087412305459237,0.0,0.006775162290402405,13.550324580804809
33,186,4162,Solved,6.19966545898933,0.969494267821871,1.9086455192383633,0.0,0.608660591887751,0.0,0.006740578748185741,13.481157496371482
34,187,4163,Solved,5.954935584013583,0.972608260459195,1.7801621641005074,0.0,0.608660591887751,0.0006037717931196424,0.006762777133884748,13.525554267769497
35,189,4165,Solved,6.101071500015678,0.9695334415573534,1.5567449555305417,0.0,0.608660591887751,0.0006003691690536696,0.006720990293977312,13.441980587954623
36,190,4166,Solved,5.898316457984038,0.9722671045896256,1.4189054615047052,0.0,0.6087412305459237,0.0006002660682265187,0.006743512159649059,13.487024319298117
37,549,5584,Solved,5.936607082985574,0.9619285130337727,1.408204773976747,0.0,0.6087412305459237,0.0005994682452467939,0.0067420201540545534,13.484040308109106
38,550,5585,Solved,5.8596349580038805,0.9684925965784508,1.3541555980170088,0.0,0.608660591887751,0.0006003421719518551,0.006666473863353577,13.332947726707154
39,553,5588,Solved,5.811030249984469,0.9661708536957633,1.3920698375516867,0.0,0.6087412305459237,0.0,0.0067235831240437145,13.447166248087429
40,1105,4112,Solved,5.391381208988605,0.9767107561764412,1.886381704935806,0.0,0.6087412305459237,0.0,0.006650730713889593,13.301461427779184
41,1111,5669,Solved,5.462922374979826,0.9790351928629409,1.1960888014366005,0.0,0.6087412305459237,0.0006004319532876796,0.0066508521280920965,13.301704256184191
42,1116,4110,Solved,5.394260208006017,0.9765424717366649,2.0068618298157057,0.0,0.6087412305459237,0.0,0.00667008574513978,13.34017149027956
43,1117,5667,Solved,5.168953915999737,0.9792444065634264,1.198105065075489,0.0,0.6087412305459237,0.0006002321229552927,0.006687841731686029,13.375683463372058
44,1118,4111,Solved,5.423899874993367,0.9775303610435595,1.916002360689333,0.0,0.6087412305459237,0.0,0.006660275137790164,13.320550275580327
45,1119,5668,Solved,5.5590574580128305,0.9806438196652507,1.1944614762631365,0.0,0.6088218692040964,0.0,0.0066908255507056175,13.381651101411235
46,1120,5666,Solved,5.570437332993606,0.9786020955923093,1.260334635377195,0.0,0.6087412305459237,0.0006007017140805342,0.0066730230325757894,13.346046065151578
