# AIRGLOW LINE LIST for SKYCORR (Noll et al. 2013)
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Meaning of Columns:
# Wavelength: line centres in vacuum and mum
# Flux: unextincted line flux in phot/sm2as2
# Trans: absorption-related transmission at zenith for Cerro Paranal mean
#        conditions
# Different variability classes are indicated:
# Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Flag for roto-vibrational systems (A and B groups defined):
# System: 0: no B groups defined, 1: OH, 2: O2(b-X), 3: O2(a-X)
# Fine classification by two group IDs:
# GroupA: e.g. same electronic states or vibrational transitions
# GroupB: e.g. same rotational upper levels
# For more details: SKYCORR user manual and Noll et al. (2012, A&A 543, A92)
# Wavelength[mum] Flux[phot/sm2as2] Trans[X=1] Type System GroupA GroupB
0.370620   0.0014 0.999956  5  0 41  0                                          
0.370686   0.0005 0.999956  5  0 41  0                                          
0.370778   0.0013 0.999956  5  0 41  0                                          
0.370855   0.0009 0.999956  5  0 41  0                                          
0.370953   0.0014 0.999956  5  0 41  0                                          
0.371040   0.0007 0.999956  5  0 41  0                                          
0.371144   0.0013 0.999956  5  0 41  0                                          
0.371223   0.0006 0.999956  1  0  1  0                                          
0.371241   0.0005 0.999956  5  0 41  0                                          
0.371574   0.0014 0.999956  5  0 41  0                                          
0.371810   0.0009 0.999956  5  0 41  0                                          
0.372066   0.0007 0.999956  5  0 41  0                                          
0.372339   0.0014 0.999956  5  0 41  0                                          
0.372932   0.0012 0.999956  5  0 41  0                                          
0.373242   0.0011 0.999956  5  0 41  0                                          
0.373270   0.0011 0.999956  5  0 41  0                                          
0.373421   0.0013 0.999956  5  0 39  0                                          
0.373464   0.0010 0.999957  5  0 41  0                                          
0.373508   0.0008 0.999958  5  0 41  0                                          
0.373527   0.0017 0.999957  5  0 39  0                                          
0.373560   0.0014 0.999955  5  0 41  0                                          
0.373587   0.0014 0.999950  5  0 39  0                                          
0.373611   0.0005 0.999944  5  0 41  0                                          
0.373677   0.0006 0.999929  5  0 41  0                                          
0.373743   0.0009 0.999929  5  0 39  0                                          
0.373804   0.0021 0.999936  5  0 39  0                                          
0.373868   0.0008 0.999937  5  0 41  0                                          
0.373886   0.0011 0.999937  5  0 39  0                                          
0.373915   0.0007 0.999936  5  0 39  0                                          
0.373958   0.0020 0.999933  5  0 41  0                                          
0.373989   0.0005 0.999930  5  0 39  0                                          
0.374016   0.0031 0.999926  5  0 39  0                                          
0.374037   0.0019 0.999922  5  0 39  0                                          
0.374067   0.0036 0.999917  5  0 39  0                                          
0.374084   0.0012 0.999914  5  0 39  0                                          
0.374095   0.0002 0.999913  1  0  1  0                                          
0.374213   0.0024 0.999911  5  0 39  0                                          
0.374269   0.0019 0.999911  5  0 39  0                                          
0.374459   0.0026 0.999911  5  0 39  0                                          
0.374486   0.0011 0.999911  5  0 39  0                                          
0.374512   0.0030 0.999911  5  0 39  0                                          
0.374757   0.0031 0.999912  5  0 39  0                                          
0.374784   0.0011 0.999912  5  0 39  0                                          
0.374814   0.0017 0.999911  5  0 39  0                                          
0.375117   0.0008 0.999865  5  0 39  0                                          
0.375142   0.0001 0.999864  5  0 39  0                                          
0.375173   0.0013 0.999865  5  0 39  0                                          
0.375528   0.0009 0.999821  5  0 39  0                                          
0.375557   0.0007 0.999820  5  0 39  0                                          
0.375590   0.0023 0.999822  5  0 41  0                                          
0.375886   0.0004 0.999779  5  0 41  0                                          
0.375930   0.0005 0.999779  5  0 40  0                                          
0.376001   0.0011 0.999761  5  0 39  0                                          
0.376016   0.0002 0.999755  5  0 39  0                                          
0.376030   0.0006 0.999750  5  0 40  0                                          
0.376065   0.0007 0.999739  5  0 39  0                                          
0.376534   0.0020 0.999643  5  0 39  0                                          
0.376601   0.0005 0.999623  5  0 39  0                                          
0.376700   0.0008 0.999593  1  0  1  0                                          
0.377127   0.0006 0.999454  5  0 39  0                                          
0.377147   0.0002 0.999442  5  0 41  0                                          
0.377163   0.0001 0.999433  1  0  1  0                                          
0.377339   0.0004 0.999356  5  0 39  0                                          
0.377404   0.0007 0.999325  5  0 39  0                                          
0.377450   0.0012 0.999301  5  0 39  0                                          
0.377601   0.0039 0.999236  5  0 39  0                                          
0.377630   0.0013 0.999224  5  0 39  0                                          
0.377655   0.0007 0.999213  5  0 39  0                                          
0.377869   0.0014 0.999100  5  0 39  0                                          
0.377926   0.0013 0.999065  5  0 39  0                                          
0.378200   0.0008 0.998900  5  0 39  0                                          
0.378228   0.0009 0.998882  5  0 39  0                                          
0.378257   0.0010 0.998864  5  0 39  0                                          
0.378596   0.0040 0.998696  5  0 39  0                                          
0.378653   0.0006 0.998669  5  0 39  0                                          
0.379115   0.0012 0.998436  5  0 41  0                                          
0.379234   0.0009 0.998379  5  0 41  0                                          
0.379304   0.0017 0.998360  5  0 41  0                                          
0.379363   0.0002 0.998345  5  0 39  0                                          
0.379393   0.0007 0.998336  5  0 41  0                                          
0.379583   0.0010 0.998277  5  0 41  0                                          
0.379616   0.0013 0.998267  5  0 41  0                                          
0.379645   0.0009 0.998258  5  0 39  0                                          
0.379751   0.0011 0.998225  5  0 41  0                                          
0.379842   0.0001 0.998200  1  0  1  0                                          
0.379855   0.0006 0.998197  5  0 41  0                                          
0.379903   0.0003 0.998186  5  0 41  0                                          
0.380017   0.0003 0.998178  5  0 41  0                                          
0.380072   0.0005 0.998181  5  0 41  0                                          
0.380190   0.0008 0.998189  5  0 41  0                                          
0.380258   0.0008 0.998201  5  0 41  0                                          
0.381056   0.0007 0.998478  5  0 41  0                                          
0.381377   0.0010 0.998631  5  0 41  0                                          
0.381451   0.0015 0.998676  5  0 41  0                                          
0.381514   0.0012 0.998714  5  0 41  0                                          
0.381592   0.0029 0.998762  5  0 41  0                                          
0.381652   0.0009 0.998798  5  0 41  0                                          
0.381689   0.0027 0.998821  5  0 41  0                                          
0.381754   0.0005 0.998861  5  0 41  0                                          
0.381804   0.0026 0.998891  5  0 41  0                                          
0.381884   0.0001 0.998940  5  0 41  0                                          
0.381933   0.0008 0.998970  5  0 41  0                                          
0.382008   0.0014 0.999014  5  0 41  0                                          
0.382077   0.0011 0.999052  5  0 41  0                                          
0.382159   0.0025 0.999088  5  0 41  0                                          
0.382188   0.0007 0.999098  5  0 41  0                                          
0.382245   0.0011 0.999117  5  0 41  0                                          
0.382274   0.0003 0.999131  1  0  1  0                                          
0.382314   0.0005 0.999154  5  0 42  0                                          
0.382332   0.0014 0.999165  5  0 41  0                                          
0.382365   0.0004 0.999187  5  0 41  0                                          
0.382430   0.0013 0.999226  5  0 41  0                                          
0.382521   0.0014 0.999277  5  0 41  0                                          
0.382537   0.0004 0.999285  5  0 41  0                                          
0.382629   0.0011 0.999321  5  0 41  0                                          
0.382727   0.0017 0.999360  5  0 41  0                                          
0.382773   0.0005 0.999386  5  0 41  0                                          
0.382813   0.0007 0.999410  5  0 42  0                                          
0.382848   0.0007 0.999427  5  0 41  0                                          
0.382950   0.0012 0.999459  5  0 41  0                                          
0.382966   0.0008 0.999463  5  0 39  0                                          
0.383022   0.0010 0.999480  5  0 39  0                                          
0.383064   0.0013 0.999492  5  0 39  0                                          
0.383123   0.0005 0.999510  5  0 39  0                                          
0.383141   0.0014 0.999516  5  0 39  0                                          
0.383172   0.0021 0.999525  5  0 39  0                                          
0.383192   0.0033 0.999532  5  0 41  0                                          
0.383207   0.0007 0.999537  5  0 39  0                                          
0.383234   0.0007 0.999545  5  0 39  0                                          
0.383319   0.0029 0.999572  5  0 39  0                                          
0.383352   0.0009 0.999581  5  0 39  0                                          
0.383378   0.0024 0.999589  5  0 39  0                                          
0.383400   0.0019 0.999596  5  0 39  0                                          
0.383447   0.0006 0.999610  5  0 41  0                                          
0.383463   0.0009 0.999615  5  0 39  0                                          
0.383562   0.0030 0.999645  5  0 39  0                                          
0.383619   0.0016 0.999663  5  0 39  0                                          
0.383860   0.0038 0.999731  5  0 39  0                                          
0.383890   0.0023 0.999735  5  0 39  0                                          
0.383920   0.0023 0.999737  5  0 39  0                                          
0.384017   0.0011 0.999740  5  0 41  0                                          
0.384246   0.0012 0.999782  5  0 39  0                                          
0.384279   0.0022 0.999783  5  0 39  0                                          
0.384325   0.0010 0.999787  5  0 41  0                                          
0.384629   0.0009 0.999834  5  0 39  0                                          
0.384643   0.0007 0.999837  5  0 39  0                                          
0.384659   0.0014 0.999841  5  0 39  0                                          
0.384699   0.0036 0.999852  5  0 39  0                                          
0.384829   0.0008 0.999869  5  0 42  0                                          
0.384860   0.0021 0.999868  5  0 39  0                                          
0.384926   0.0009 0.999867  5  0 39  0                                          
0.385002   0.0004 0.999866  5  0 41  0                                          
0.385102   0.0008 0.999868  5  0 39  0                                          
0.385120   0.0005 0.999869  5  0 39  0                                          
0.385135   0.0011 0.999870  5  0 39  0                                          
0.385170   0.0016 0.999873  5  0 39  0                                          
0.385197   0.0007 0.999876  5  0 39  0                                          
0.385364   0.0000 0.999912  5  0 41  0                                          
0.385524   0.0004 0.999911  1  0  1  0                                          
0.385634   0.0013 0.999911  5  0 39  0                                          
0.385704   0.0013 0.999911  5  0 39  0                                          
0.386571   0.0011 0.999956  1  0  1  0                                          
0.386629   0.0004 0.999956  5  0 42  0                                          
0.387671   0.0010 0.999956  5  0 42  0                                          
0.388401   0.0009 0.999956  1  0  1  0                                          
0.388974   0.0047 0.999956  3  0  3  0                                          
0.389117   0.0008 0.999956  5  0 42  0                                          
0.390569   0.0023 0.999960  5  0 41  0                                          
0.390595   0.0021 0.999962  5  0 41  0                                          
0.390640   0.0014 0.999967  5  0 41  0                                          
0.390698   0.0011 0.999978  5  0 41  0                                          
0.390763   0.0019 0.999988  5  0 41  0                                          
0.390776   0.0013 0.999988  5  0 41  0                                          
0.390848   0.0015 0.999980  5  0 41  0                                          
